Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,unuse
0.239376862,0.22180259,0.190556499,0.191478508,0.174028587,0.160260303,0.161687414,0.160891013,0.163991369,0.179928126,0.184823986,0.209259755,3.248160488,2.316437152,3.038917316,6.593068426,11.75882137,11.52070583,6.416420476,4.315911604,5.679780756,7314,277.3050835,285.3384567,295.8300025,304.4649594,307.4198371,309.1299506,308.5017001,305.7011763,301.5037703,294.9067622,284.2224514,276.7358067,258.250586,262.881852,270.057618,276.9056353,283.0353512,288.6870682,291.4775738,289.0296232,282.6246744,274.7570919,268.5631447,260.656974,61,1109.131579,8
0.296742722,0.289243717,0.268077806,0.256233292,0.244026431,0.235349715,0.231417716,0.232024719,0.236690064,0.24945275,0.26957239,0.28748681,1.953571429,1.457142857,2.710810811,7.126666667,9.479220779,9.049350649,4.772151899,2.041935484,3.526785714,13606,275.9228113,285.4664937,297.681428,307.7767422,314.9683638,319.7759497,321.2809331,317.7754767,309.3730216,298.5835122,285.8753742,275.8083873,255.3656695,260.4539606,268.5943104,275.7095846,280.7978492,287.2941171,290.4400094,287.7594815,280.5931327,271.6395481,264.1024866,256.9679791,49,1259.05625,8
0.310971234,0.29021954,0.265428957,0.255584655,0.243449473,0.234760878,0.231311429,0.232010154,0.238487184,0.258344147,0.271486656,0.280899386,,,,,,,,,,14798,278.428891,287.9110397,299.3576826,307.8502591,314.8577126,320.1643541,321.5818839,318.1885702,310.3967211,301.1343145,289.4025622,279.3732243,257.0976639,263.6661084,272.7852368,279.3770715,284.2360488,289.2448932,291.2335048,289.8204855,284.1209749,275.0615733,267.0650854,259.4628306,54,1010.160665,8
0.359736857,0.275124665,0.186587523,0.186079629,0.178330016,0.17164543,0.16856128,0.168481932,0.16848586,0.177343078,0.184143163,0.256280447,3.669962144,2.409350309,3.051054379,3.808887149,4.781297329,4.799006498,3.439397793,2.88734234,4.5,16998,274.4013559,283.5952101,296.8095858,305.963869,310.999942,315.4611458,315.9621938,313.0247213,305.8810918,297.4275641,286.0544984,275.5797058,258.3619137,264.4337713,273.2845898,279.7370216,284.2726838,288.8552888,290.9161187,289.2531669,284.075445,276.1752432,268.8882451,260.9952495,42,1349.022109,9
0.288159545,0.268864706,0.251798558,0.250243125,0.242640621,0.235946674,0.229868911,0.228076865,0.226416712,0.235399705,0.252999825,0.262089089,3.11921727,1.951171023,1.891418415,2.765203833,5.075893563,5.8346286,4.460845779,3.678341533,4.891813436,6705,277.5646114,287.139271,298.0858132,307.1972075,312.5936831,316.6739374,317.4039341,313.7988995,306.7864848,298.1741258,287.3693469,278.5622566,257.9749882,262.7578157,270.2929556,276.8773094,282.1547113,288.3840044,291.3394797,289.1609397,282.8024825,274.7339514,266.7467722,259.2380522,60,1447.298851,9
0.640106497,0.632519617,0.342565204,0.173820862,0.172345987,0.169541108,0.169751374,0.169707728,0.172530035,0.176178271,0.238030807,0.556851086,3.524021578,2.180174373,1.526732755,3.855948169,6.366366569,5.950253631,3.254525755,2.88272351,5.913830631,25068,256.1855562,263.7574542,288.5775404,307.2505589,314.669765,318.6901444,316.7418572,314.1272884,306.012071,293.2977587,278.7443538,259.7873267,245.5763297,251.3261633,268.6267736,278.5064476,284.4013857,289.9244531,290.9077941,287.9884563,280.9229395,272.6857187,264.4499758,251.2142522,60,347.7408027,10
0.296959466,0.26371499,0.249725873,0.245856237,0.237148926,0.231340698,0.230161205,0.235416436,0.238648634,0.248302075,0.250996375,0.258603375,1.368473208,5.073756151,8.033333333,6.565567766,6.323967699,6.231353457,4.944375,1.85372005,2.139699381,2841,280.5610301,289.0361942,300.6224065,306.7149051,310.1344686,313.0493086,314.5041858,311.4992473,307.5198322,300.7761457,290.9771346,281.7369718,261.3593777,266.8239527,274.8211561,280.5845733,284.5810576,288.3198455,290.4014989,289.0104331,284.2671519,276.9721718,269.8413568,262.9495464,62,1432.596795,10
0.278410033,0.24926428,0.236457611,0.232696908,0.227022357,0.217942545,0.215823687,0.213238446,0.213818441,0.220559435,0.227849688,0.243937127,3.651509829,2.440998461,2.711157652,4.135323762,5.301619064,6.101876752,4.992208162,4.235630013,5.181311596,5935,277.6142489,287.0057948,296.366254,304.5719124,309.1048552,311.9567675,313.762927,310.9156419,304.7723648,297.1613744,287.2616079,278.4473611,257.4778977,262.212975,269.0437565,275.4342379,280.4779906,285.9141897,288.794994,286.8060067,280.8589616,273.188412,265.8700723,259.1839159,57,1520.258684,11
0.311326819,0.274137294,0.257985381,0.2501698,0.24446476,0.237165155,0.234983365,0.233161357,0.237560777,0.24906657,0.259295347,0.299845176,2.610376817,2.014148059,2.730694479,7.132877078,10.9618413,9.479667168,4.824750024,2.828775237,4.394023025,9605,276.3477966,286.7128865,298.6442107,307.7739991,314.540302,317.1758066,317.771986,314.8010409,307.7363998,298.4994389,286.7690878,276.8123197,257.4061168,262.1995931,270.07436,276.8154749,282.0032315,288.2449784,291.0435111,289.0127237,282.3578958,273.6025893,266.2630565,259.0873543,57,1425.448379,11
0.438155968,0.308134085,0.220288562,0.204570035,0.195025637,0.190321116,0.190186377,0.192565897,0.199249489,0.208765302,0.22429094,0.341025516,2.468115942,3.445,4.252,3.165384615,3.320253165,4.964556962,3.00875,1.770967742,3.721568627,10075,277.9145517,286.3039655,298.9324005,307.4222371,312.412492,317.4970648,318.7246001,315.3260775,309.391208,300.8063566,290.5517693,279.4522077,262.8320485,268.4464124,276.4539383,282.7181886,287.0484142,291.5095466,293.6416249,291.9800638,287.1459528,280.044131,272.6320993,265.2604499,54,1427.314151,11
