Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,forest
0.122219337,0.131742843,0.1400074,0.124200917,0.106334344,0.099011718,0.099721554,0.098026948,0.09360807,0.099344945,0.123006431,0.122303621,5.921940909,6.085215063,7.450301623,11.70626188,17.58813136,15.39700902,9.894156363,6.327536425,5.62693555,6417,268.7824002,273.2222991,279.8842772,286.0276671,290.7966017,293.4132205,295.0499238,292.2323767,287.6979697,281.8032722,274.6466865,269.0239057,257.2601604,258.9593588,264.5077079,269.7597614,274.0504263,278.6901163,281.3227025,279.9541534,275.2524627,269.376083,263.6889116,258.6399736,5,2876.074909,37
0.192124755,0.236644509,0.223766182,0.156951924,0.1335628,0.128213422,0.136134505,0.135379373,0.12820562,0.148062046,0.216334224,0.188916807,9.086972139,9.991284455,11.31024272,15.13745943,23.6648214,18.63700866,12.16934499,8.828420415,7.514204006,5439,272.6313585,278.4098945,284.8377369,289.4314301,294.0598327,295.0628776,295.4425237,293.5648367,289.7457303,284.1870045,276.7652131,272.2685573,253.0243859,254.584239,260.0126709,265.6823242,269.8128224,274.5121713,277.4292787,276.0149912,271.3260824,265.2916452,259.5198812,254.4845801,5,3305.702206,59
0.324486473,0.367934619,0.333158855,0.184305332,0.118108039,0.127004236,0.126321629,0.115556608,0.111661673,0.152443418,0.275549698,0.307678562,5.114133422,6.956182637,20.20869961,31.87650489,31.06241587,17.27454442,7.023811276,4.029745972,5.536559026,22543,263.9898475,267.6549007,277.972945,291.1839302,294.6627337,296.8922194,298.5250085,299.1848961,294.3587182,284.6536584,272.161575,265.2181432,259.8818011,261.6844968,268.5528251,275.1541712,279.1282479,283.2720141,285.4850752,284.3882181,279.5039795,272.9228879,266.0561936,261.5343137,6,1892.165982,5
0.336392424,0.244536136,0.20112998,0.193308406,0.190292166,0.18641024,0.182072811,0.180391603,0.176921905,0.183648832,0.229565296,0.314985522,5.558749027,4.468175401,4.124513143,4.696608244,5.839493671,7.217704869,6.495226602,5.435286463,5.880312693,7261,275.4260117,284.1600557,294.9326418,302.678945,309.4579348,312.6843159,312.5119499,308.0920563,301.3859486,294.6941216,284.5742189,275.9775406,251.9689806,256.5599846,262.9955913,269.0716797,273.8813666,279.5998732,283.4571241,281.7306771,275.4044637,267.8550556,260.3795746,253.2356216,6,2058.4,5
0.225322424,0.241505516,0.223923807,0.153918455,0.108109656,0.094592377,0.095598778,0.09446786,0.108259096,0.154247012,0.19463366,0.206813092,5.319566889,4.259785122,5.419214639,12.41838102,15.0586014,11.59143216,4.891591942,4.575556754,6.060933087,22659,259.9359994,264.5102017,272.6278223,281.8523898,288.2319684,293.6061669,294.6879151,293.2149275,286.5324872,275.999655,266.817105,261.1329267,254.4594012,256.2845763,261.9465285,268.5779917,273.1666923,278.8576436,281.3546064,279.345474,273.863834,266.6212634,260.4766919,256.1463364,6,2333.223796,7
0.245746837,0.242260278,0.222722817,0.207700162,0.187886743,0.174877178,0.174783089,0.176393046,0.18317798,0.201922881,0.214636328,0.230981153,0.970296058,0.86764845,1.046825474,0.914352769,0.81215411,0.854825251,1.018020779,0.886307023,2.878090959,10830,278.5810418,286.8435406,298.7991018,307.6949853,314.2603269,318.2215599,317.5128255,314.2013794,307.7055509,299.6854306,288.8772233,279.0274658,256.0518732,262.6961903,271.6495102,277.8537811,282.8310697,287.8684189,289.8599281,288.4975651,283.2255901,274.520696,266.1216996,258.2047547,6,1141.385784,8
0.271485074,0.250897259,0.231140509,0.227679229,0.220959379,0.211958868,0.207989077,0.211392412,0.214854497,0.226633555,0.240543896,0.265662082,,,,,,,,,,19279,274.5517549,284.7291178,297.6950508,308.8995794,317.0679532,323.2835264,324.9437893,320.6479288,311.086762,298.4181741,285.2254779,274.3583469,254.7713103,260.8074743,269.7697517,277.5810732,283.332201,290.1715637,293.5327304,290.1646004,282.1876963,272.9897951,264.0519365,256.0414666,6,958.3333333,9
0.141085401,0.152859609,0.14886594,0.124972887,0.118788179,0.115987624,0.116656214,0.116645034,0.112965235,0.11790002,0.129654756,0.138305252,7.955446567,7.60655333,8.434585009,12.91569138,19.73573195,17.0055976,11.03849379,7.893450805,6.95367545,4741,275.2988261,280.2393306,286.066417,292.5230306,297.241081,298.3684232,299.0335135,296.3312352,291.7091761,287.0743848,280.087437,275.2008462,256.4475826,258.4488942,263.7315968,268.9651917,273.5296681,277.9731946,281.0611438,279.5376024,274.3948944,268.8157193,263.1540972,258.0210142,6,2986.986928,9
0.342057731,0.363991563,0.355179532,0.274861249,0.140273592,0.123432484,0.125286369,0.114803869,0.115235079,0.186455786,0.307483437,0.338714593,9.530416474,10.04919278,13.66927244,23.99728748,27.62049234,19.31175229,8.81261992,6.629264729,5.869274882,22384,263.0307158,266.5613782,273.8883605,283.6227888,290.2421161,293.6060246,294.9016358,294.4087989,289.8401426,280.7130497,270.2301178,264.3338194,258.7138142,260.2858483,266.3823115,272.5302872,276.6936533,280.8055784,283.1294844,282.2909964,277.6257225,271.4233316,264.981547,260.1783137,6,2255.216963,10
0.177334025,0.165150069,0.159073701,0.139015847,0.132477897,0.129921484,0.127225894,0.126055999,0.121735272,0.12461736,0.14506982,0.166524702,7.350991779,6.906432239,7.624286264,10.84020578,14.91042024,13.69659217,9.843447075,7.293021061,6.709869719,6958,272.0630438,278.0687113,286.7009638,293.7486356,299.2541428,301.858725,302.6961005,299.709303,293.8721989,287.6482703,279.016428,271.9714646,257.0263446,259.306795,265.0935982,270.7841808,275.2440061,280.56615,283.2819866,281.3785899,276.4473342,269.9942594,263.8662767,258.4488473,6,2782.809648,14
0.612665674,0.626953287,0.479459879,0.194816623,0.154801158,0.153423909,0.157452867,0.157929711,0.167185725,0.194026766,0.423697452,0.604028705,5.04976662,5.328904749,8.615826471,22.04303976,24.86058693,10.71523274,4.805616366,4.51909491,4.859503511,27514,254.9591103,261.6285835,277.7561249,296.5387541,302.4045362,303.5962476,304.0630129,304.0113244,297.5167803,286.1433713,269.042943,256.335776,244.4142399,248.2553342,262.7543238,272.097965,277.7340498,284.0302399,285.6531658,282.7997818,275.7055419,268.1874531,256.6315796,247.2317663,6,1242.165621,15
0.19422377,0.210531749,0.186072419,0.13116013,0.12524174,0.129597585,0.138431461,0.137815801,0.127858774,0.130924203,0.195350376,0.191451033,8.953045799,9.57708081,10.28436749,16.05835951,25.26177318,19.8456348,12.3623525,8.997914777,7.673821225,3182,274.7025576,280.1594838,285.3431677,291.3366971,295.7535159,297.215427,297.2550312,294.9925576,290.9198119,285.8967298,278.395334,274.3527775,253.7461799,255.9963765,262.0363557,266.8736443,271.0393967,275.2741469,278.4636857,277.1212338,272.7212534,267.0790061,260.836402,255.3430602,6,3049.991312,15
0.164677899,0.182464474,0.147353389,0.134050117,0.131431969,0.131237703,0.13130381,0.130966358,0.124639582,0.123548569,0.144334652,0.150539111,8.932992721,8.958438766,9.254380061,12.83949216,18.7391373,16.41695414,11.47702432,8.731079344,7.646315113,2771,275.5719298,281.7372025,288.6486055,295.9135255,300.537401,301.4065638,301.4486913,297.9642921,292.2057474,287.0381075,280.9800092,275.5914829,255.3698119,258.1943237,263.871841,268.5701334,273.2832678,277.2412711,280.7637822,279.0928841,274.7383285,269.3480374,262.9442869,256.9985953,6,2871.664671,20
0.146202854,0.154092714,0.156650546,0.140507502,0.134193671,0.129980722,0.126861328,0.123991653,0.121062659,0.121369733,0.130049281,0.153323614,5.846761543,5.098212412,4.894971833,6.462296177,8.760235549,8.541777857,6.496215114,5.554105458,6.090613652,9590,267.7693755,273.2942239,282.2958834,290.5762553,296.0719425,300.0099979,302.0646666,298.649657,292.9084605,285.0282292,275.1079747,267.701694,256.4558038,258.7398719,264.3145554,269.949433,274.458685,279.6756415,282.7407113,281.0460472,275.7828117,269.0320034,262.9756657,257.8155197,6,2878.988452,20
0.145018067,0.200310092,0.175111698,0.116945948,0.108647469,0.112380325,0.123685124,0.122551991,0.113159928,0.119367724,0.154871597,0.144225697,7.695097683,7.654060469,8.567937321,15.31647839,24.03074115,19.17510783,11.5915076,8.511018008,7.434185582,3184,273.2919946,277.5172427,281.5543718,286.3925295,291.4417787,294.073006,294.3833627,292.9948632,289.2731228,283.8590723,276.8011304,272.9054781,255.2469475,256.8942374,262.0943754,266.8391571,271.0002504,275.0133452,278.5563202,277.3045238,272.926819,267.3773135,261.6475629,256.6001332,6,3308.427629,28
0.331567844,0.309436999,0.299888235,0.281902712,0.269171151,0.262191539,0.259751782,0.261219919,0.266233721,0.282249667,0.304093024,0.311814901,1.927838983,1.276455026,1.401417967,2.660064935,4.422086466,5.027753165,3.364952532,1.914053093,3.38400974,13250,275.5671374,286.0905823,298.5735812,308.6321643,316.8318507,322.3486643,323.8213075,319.5131268,310.2268046,299.1650216,286.1839497,276.2034025,254.2043322,259.8558259,268.4085804,274.9925018,280.3217552,287.0323227,290.5338042,287.6776582,280.4103351,270.8647322,262.7410522,255.6741441,6,1232.529519,37
0.35115553,0.422377376,0.336322723,0.144419071,0.13096728,0.132223609,0.133903843,0.135445153,0.140861896,0.173598208,0.306526288,0.373627746,8.011044672,7.491148322,7.828572453,9.994099303,10.87597321,9.334865577,7.233256124,6.862917438,7.105587384,18782,268.1142567,271.2122966,279.7754002,288.5045371,293.0069014,295.634284,296.5016183,295.5677945,290.7568856,284.0011351,274.881689,268.8994504,257.0104074,259.0128022,265.7400525,271.1644137,275.1192902,279.2236312,281.4567189,280.3258944,275.7441541,269.5513917,263.53444,258.8185723,7,2576.457813,5
