Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,grass
0.562838863,0.551092547,0.310105323,0.211774852,0.203447313,0.198163144,0.199363561,0.199787452,0.199763959,0.206845461,0.231804362,0.494685115,3.955837366,2.677649121,2.03699455,5.916028638,9.377069769,10.5093183,6.605231153,3.46142315,5.370033158,25038,259.4245151,269.8830861,292.2973085,306.580909,312.5622078,315.9766201,313.3387655,310.5443217,303.6118013,292.8525675,280.8897151,265.2509583,248.8131833,254.8289534,268.8861662,278.0954517,284.1203858,289.4872084,290.7150835,288.0994849,280.8722204,271.819995,264.0941436,253.8148193,5,233.1251729,5
0.620280212,0.653794001,0.465828249,0.232485957,0.220856998,0.213974021,0.208952909,0.209495859,0.218195762,0.234004252,0.287075551,0.568035296,4.34714673,2.852705022,2.050145865,2.172854216,3.046223367,3.135170801,2.706115331,4.386257799,5.740768618,27962,255.6695149,261.5247224,280.8376217,298.5363819,305.3787398,310.5953035,310.9754245,307.3419256,298.1300281,286.5203275,274.0277297,259.6602723,246.7309541,250.4440278,264.9717783,275.2247017,281.470788,288.1132518,289.9764519,287.1748246,279.6850423,271.2830156,262.8423215,251.5864305,5,507.740644,5
0.649550504,0.662180679,0.432669902,0.19053147,0.164656901,0.15534185,0.155843359,0.159284734,0.166642803,0.187316267,0.398559728,0.603837959,4.449677728,3.780386187,3.618003693,5.968515245,7.602202063,4.751664301,2.933254756,4.29279861,5.046337661,27048,255.251369,261.6483283,282.1934624,298.3456182,304.7665269,309.2641142,309.9843433,308.6305875,300.6843365,288.1496949,270.3946113,257.1220274,245.7317009,249.8408542,263.2505293,273.2763019,278.7498796,285.2189246,287.1784217,284.2201825,276.6673872,268.2281438,257.5241384,248.5174774,5,1156.286675,6
0.246905897,0.227974239,0.214569451,0.209843578,0.204578995,0.199484419,0.193973832,0.191237692,0.189573288,0.195305417,0.209529569,0.223144642,7.314521022,6.242544631,5.950076114,7.095357934,8.652905531,9.204055777,8.813401119,7.324625688,7.146211614,2777,279.6632322,286.2000533,294.3764699,301.36936,305.7542,307.0125497,308.26497,304.0717725,297.6541765,292.5020775,285.8279817,279.5512028,253.6598379,256.9972285,262.270117,267.8746329,272.1563614,277.8713804,281.8600256,280.1290217,274.734527,268.0358675,261.7023544,255.4398397,5,2619.636423,6
0.358114167,0.296574847,0.22677286,0.2110528,0.208986927,0.204941195,0.203625722,0.202779822,0.204643171,0.211014083,0.222791878,0.347067004,3.362173547,2.970802184,3.021564136,4.560641047,7.146645022,7.27818038,4.73433584,3.535132275,4.423179116,10693,273.5817885,283.2428139,295.4390494,304.879716,310.6387351,314.2576013,315.9250568,312.4750097,305.5618178,296.6617029,285.6138588,274.8094265,258.4171657,263.4429114,270.5911641,276.7714672,281.7380896,287.5992415,290.6948611,288.2816151,282.0372914,274.36666,267.3539753,260.2414477,5,1657.391105,6
0.276512802,0.248982653,0.233770746,0.221148931,0.216080707,0.208338171,0.205479164,0.206875671,0.213710427,0.22570412,0.236156694,0.270940842,,,,,,,,,,14289,275.3989552,285.7146048,297.4370751,306.0780207,314.305411,317.7239856,317.8067342,314.9905645,308.1175096,298.3571669,286.3108969,276.1798106,256.8594912,262.4987016,270.8471576,277.8245587,283.4275502,289.7755362,292.5078827,290.1503288,282.8639042,273.6226561,265.8959326,258.012363,5,1179.502836,6
0.631015937,0.632306877,0.349453241,0.204742325,0.212351374,0.211412012,0.212954148,0.214734124,0.218832985,0.218538763,0.331036345,0.595286113,3.688312405,2.44020259,1.812607997,1.942675139,1.777342734,1.544361999,1.727805815,2.794614376,4.673648921,24288,257.5404327,264.4765374,286.8682877,304.9033122,312.5559455,318.8649879,319.1496153,315.5902877,306.3171105,293.1349513,277.4453061,260.0054759,246.6473032,251.5921793,268.5342953,277.3834575,282.2913701,288.3806717,290.4544595,287.2193751,279.7891991,271.2782942,263.5465445,250.9494512,5,460.5541734,7
0.52606683,0.510602974,0.282273019,0.205159101,0.206060718,0.202906847,0.199447566,0.199615081,0.202293326,0.212636478,0.236195684,0.467314463,4.400463408,3.18940021,2.213832395,5.431484459,11.76430131,13.29063154,7.356156126,3.794370026,5.473456599,24881,260.2992285,270.8915221,292.1044365,305.5158283,311.9574776,315.2039692,311.0328921,308.1180621,301.9375244,292.3192378,281.1012181,265.9290897,250.530931,256.2801022,269.0516538,277.8419997,283.8535033,289.4439285,290.7870286,288.0311288,281.030902,272.0335741,264.7483808,254.949327,5,273.7142857,7
0.483455349,0.5155108,0.388749849,0.190318891,0.191270565,0.189632121,0.189221954,0.192223463,0.198184236,0.206167295,0.243135197,0.442406213,4.130970786,3.313036234,3.022818407,5.701194307,7.024238858,6.438493647,4.067911677,3.485780461,5.79185159,24891,260.0828595,268.6288767,290.2667682,304.163214,310.9675373,316.0217774,315.0989262,311.9427935,303.8057426,292.3904288,279.7983321,265.2675221,249.6464711,255.3882155,268.9578221,277.5600545,283.1730555,288.6600045,291.1033505,288.1703302,280.8862743,272.2415467,264.6639198,254.2586734,5,333.524796,7
0.609097468,0.619433977,0.431008967,0.170297107,0.164299008,0.168476206,0.171271217,0.175180844,0.1770692,0.183388894,0.427980237,0.618661545,5.932038506,5.423843372,4.541916094,3.918054313,3.170463262,2.587808297,3.280283019,4.70415709,5.667464302,28109,257.9710446,263.0909043,278.8311416,297.2330253,304.5585306,311.6924938,312.7156481,310.2264268,299.8131687,285.819258,269.8014632,259.5023901,251.9502936,254.8971332,266.1320539,274.9175256,280.6071003,286.8388788,288.4109287,286.0498401,278.3383488,270.5825936,262.3565138,255.2992071,5,840.5850731,7
