Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,grass
0.538987389,0.555501532,0.281483168,0.182469532,0.18096589,0.183191361,0.191130672,0.188748472,0.183092427,0.187245465,0.202996156,0.489710465,4.129230969,2.787021808,2.581142551,11.97848658,22.43434929,21.81852088,10.39546429,3.680766026,5.227854865,25038,259.0016069,269.1902191,291.2794884,305.9387052,312.1240287,312.2864348,308.0725326,306.1110872,301.5113291,292.1740992,280.9749978,264.0167388,249.0377165,255.030856,269.3610449,278.8011855,285.0552814,290.0848304,290.6865201,288.0359496,281.1761493,272.46793,265.0373402,254.4619557,5,231.9264165,5
0.645236255,0.665875784,0.4453325,0.229771271,0.219652458,0.216754497,0.212491935,0.214291759,0.220985726,0.235347237,0.290333332,0.5872325,4.43519697,2.857462921,1.98512228,2.149483715,4.027029991,4.222326457,2.952861352,4.414107858,5.691271171,27962,255.6912546,261.4070091,281.4277671,298.9952054,305.670453,310.9925855,310.869386,307.3029036,298.4600874,286.6989829,274.2225478,259.6764703,247.0545863,250.7622975,265.1682628,275.4571886,281.5842135,288.1489319,289.9862796,287.2249096,279.7573324,271.3127016,262.8195523,251.7260159,5,510.75,5
0.684708139,0.690959805,0.481196249,0.213770691,0.187156068,0.176185013,0.172550845,0.175102557,0.185436825,0.215001843,0.432373624,0.631964846,4.510142795,3.887186143,3.951055856,8.016351834,11.025,6.838987342,3.44375,4.366401675,5.118222414,27048,253.7088454,260.8938948,280.5525555,298.8265332,305.0628787,308.9646714,308.9520539,307.8224355,300.690896,288.4230278,270.2560999,256.5059234,243.3892217,247.5842253,262.3852976,272.4836035,278.1907845,284.7229986,286.6072619,283.5162152,275.8195113,267.4947317,256.1104077,246.564287,5,1103.8,6
0.252046458,0.234814071,0.216674878,0.211554966,0.207903135,0.204457096,0.196295363,0.193722847,0.193356797,0.196338079,0.205361132,0.224075428,7.23521326,6.325445273,6.020303682,7.13164513,9.302778517,9.353660533,8.868270279,7.433595367,7.190978736,2777,279.345625,285.8715225,293.8833962,301.2816439,305.3373976,306.2229727,307.2510988,304.1068435,297.4115084,292.2895614,285.361609,279.2411242,253.5836269,257.0112795,262.5022282,267.9733694,272.3676595,278.1053804,281.969576,280.198262,274.8705394,268.1513945,261.9302361,255.3441022,5,2574.191368,6
0.353729017,0.290084684,0.22638766,0.213575743,0.210845537,0.20470738,0.202881969,0.201290475,0.203957112,0.210423079,0.221328368,0.342923229,3.218303732,2.923443394,3.028335735,4.6882423,7.594213226,7.417944621,4.862768804,3.478572472,4.245417189,10693,273.2513547,283.0824655,295.1525152,304.3352063,310.1626167,312.954655,314.5686087,311.1638944,304.5231304,296.0406797,285.2893682,274.6017502,257.6929247,262.9013129,269.9182248,276.0557669,281.0409791,286.8812106,289.8882589,287.5269029,281.2818827,273.6276713,266.6652197,259.4974258,5,1653.103346,6
0.283107103,0.255308532,0.234718069,0.221086551,0.220586769,0.211518446,0.207091745,0.208977439,0.218078886,0.233818941,0.240353652,0.272696691,1.128890609,0.701912375,0.751858031,2.635108235,6.596141362,7.409749426,4.406140933,1.441269619,2.86770595,14289,274.566364,284.2733407,295.3543025,303.8120651,311.9392185,314.3762254,313.709344,311.3112846,305.478379,296.4815665,284.7012352,275.1431594,256.7252018,262.3072908,270.6470866,277.5194539,283.1009524,289.1823952,291.6679228,289.4313507,282.4735903,273.4493025,265.9035145,257.9068262,5,1179.638999,6
0.612594508,0.609047972,0.325739991,0.19063768,0.193577857,0.193948681,0.195460813,0.194582642,0.19767098,0.20112445,0.277174892,0.556712225,3.800360933,2.647547841,2.279151117,3.70531446,4.609753614,4.242839306,2.804207084,3.001404318,4.878506118,24288,257.8785311,264.8164976,286.4587933,303.9595236,310.891308,316.3126153,315.9852071,312.7905444,304.791014,292.4383977,277.9803693,260.6591863,247.1778694,251.8713527,268.6771812,278.0115152,283.2572673,289.038459,290.7041118,287.6966756,280.4984886,271.9800175,263.900344,251.6400179,5,459.7371879,7
0.535942485,0.50481068,0.246058192,0.197658418,0.197027611,0.191385716,0.191319182,0.190564864,0.188711234,0.196871137,0.20985227,0.455863528,4.747281643,3.323670835,2.501921606,8.794729345,19.97418479,19.22102374,9.656496144,4.007845983,5.484740379,24881,260.0892043,270.5014287,291.860489,305.8701233,311.8884852,312.6362775,306.7438642,304.6287476,300.1749077,291.6631469,280.7417726,264.9160614,250.9299498,256.7926167,269.8418088,278.707765,285.0463897,290.3215051,291.1719743,288.4322417,281.7995001,273.1376282,265.9047724,255.8484056,5,292.6368564,7
0.497540752,0.481988756,0.253381407,0.197044384,0.205773672,0.200058965,0.194678401,0.195372818,0.19545347,0.198755462,0.213258026,0.465666418,4.683825679,3.453469514,2.312535299,5.787925968,14.60884428,16.20336488,9.344676314,4.125167215,5.496508272,24891,261.0185982,269.5789473,289.9730217,303.4690403,311.4777931,314.5245192,310.0192766,307.035375,300.9780693,290.8666115,279.9156426,264.9082143,250.8989115,256.4571389,269.8497146,278.4971157,284.4913093,289.9295228,291.8690868,288.7126242,281.8206994,273.5678136,266.0756881,255.3797121,5,338.1745152,7
0.610070293,0.623214463,0.407590115,0.165646591,0.163693659,0.170906323,0.170975974,0.180116787,0.183809846,0.185436754,0.396950784,0.609878705,6.180082511,5.454503991,4.147015537,10.03225597,18.05033515,9.810647228,4.211981622,4.611760062,6.028795194,28109,258.821085,264.0605095,279.1411805,297.371705,304.893642,307.746847,306.6267888,304.7794381,297.6262001,285.5712868,270.2234121,259.770206,251.8448162,254.6410353,266.1269984,274.303698,279.7001786,286.1720386,287.6574113,285.3720091,277.876972,270.5832011,262.5498605,254.74272,5,929.8598326,7
0.274369527,0.257923728,0.228813761,0.220038351,0.205443474,0.19978171,0.192638934,0.189273572,0.190444665,0.209461214,0.232323824,0.242760787,0.74695727,1.803216264,3.256278185,2.549613055,2.613418959,3.974940383,3.546954971,1.287222608,2.227147213,4382,278.5000826,286.7464118,298.0406328,304.2910066,307.5012626,310.1062651,310.6495654,307.0959943,304.4088628,298.8623768,288.8050193,279.7026355,256.9936259,263.973397,272.6555934,278.653748,282.5313489,286.5082857,288.3250281,286.8604088,281.9591557,273.6625089,266.280038,259.2677041,5,1254.97392,7
0.284521173,0.254293289,0.23578893,0.212549311,0.197795856,0.182036036,0.181881051,0.187287398,0.197518609,0.210810181,0.238616581,0.262418035,0.645508668,0.614438759,1.586586261,3.662415833,5.996993015,6.414855407,5.550504301,2.564816836,2.437990503,9113,276.7040512,286.7463466,299.4971415,306.7926181,312.3103168,313.9437619,314.3654632,311.9823931,306.7353116,298.4351509,287.0971123,277.3979148,256.9940075,262.950752,271.7091,278.6662666,283.6220781,288.5657833,291.0782708,288.93244,282.9078174,274.5630065,266.4785889,258.728751,5,899.3849423,7
0.238871214,0.223077798,0.210994027,0.196995119,0.182326041,0.171940916,0.167617135,0.165185522,0.170371032,0.185428842,0.207593465,0.216910589,0.740800323,2.326521973,3.893157051,4.189200463,4.884856606,5.17079152,3.775670072,1.724099031,1.587343205,2872,279.5174817,287.5907817,299.060675,304.9605447,307.2278454,308.0566856,308.5269672,306.185132,304.2817407,298.4616806,289.1882042,279.7438995,258.4730891,264.0601506,272.2986129,278.1234716,282.0635236,285.7837716,287.3806584,286.2375374,281.5816005,273.5802513,266.6296191,260.5052433,5,1421.072115,8
0.263554798,0.246189391,0.227250937,0.222845669,0.212286594,0.202985692,0.205188761,0.204475104,0.204149186,0.213512722,0.221815572,0.247128495,3.686269364,2.58878405,4.203348556,7.67130002,6.709584547,7.357076019,5.894206321,4.277951578,5.383920194,6437,277.3052254,285.9668749,296.0201969,304.6842171,308.4527587,310.7366657,312.7550945,310.3149093,303.7089943,296.4126912,286.58015,277.6598954,258.8531443,263.1231814,269.4612623,275.4675326,280.6082303,286.3285027,289.0956036,286.8844249,280.8889404,273.5956396,266.9193691,260.638563,5,1559.281749,9
0.632269107,0.668115481,0.452320349,0.23650997,0.223241214,0.215091403,0.206390849,0.204921656,0.212499738,0.233342676,0.296365334,0.557762443,4.424659056,2.914672775,2.059774185,3.111544953,7.043729471,6.535410606,3.292734308,4.378382663,5.826557522,27904,255.593109,261.2766187,280.6483016,298.052945,305.3091473,310.0127782,308.6882013,305.6180051,298.0165889,286.6497117,274.2092679,259.3524276,246.4757439,250.0918118,264.6808086,274.8247192,281.124195,287.9294331,289.5682302,286.8514088,279.2636184,270.8854502,262.6418967,251.4734721,5,511.0557576,11
0.274083168,0.24771301,0.182483469,0.172875158,0.186371325,0.182320272,0.182526999,0.184170823,0.190606409,0.209598912,0.221658106,0.237323367,0.85826169,0.563386692,0.820792554,3.147040807,4.936873418,5.711,5.14475,2.020896652,3.712203998,16460,275.1687051,282.7918425,292.9298767,301.535739,309.0358031,312.4869587,310.0937218,307.4608278,302.6482782,295.1870266,284.8515987,275.477639,257.101219,263.260182,273.2459312,279.6571096,283.9785161,289.3032677,290.8300812,288.8884042,283.2060439,274.6115998,266.4715622,259.5827907,5,891,11
0.409226635,0.456609605,0.208393966,0.183074532,0.176449279,0.171499465,0.168068517,0.169156117,0.17022154,0.178254543,0.213371146,0.323082451,6.112940212,4.366013891,4.082518689,5.514167114,5.523865513,4.497836531,3.988997464,4.789062773,6.479660231,19850,269.1442077,275.1340546,288.200424,297.8236592,301.4697635,304.9796048,306.2813564,304.2786454,297.7444517,289.9598539,279.7071079,270.8804228,255.2797493,260.3293279,269.2532696,275.3940419,279.6120534,283.8743749,285.9447991,284.5167,279.4064414,272.2488626,265.4091238,257.5958218,5,1836.869565,12
0.386456523,0.280900143,0.210308311,0.211004809,0.194265599,0.187809941,0.18275976,0.180233677,0.18604067,0.205264711,0.220260129,0.234864271,0.945151677,1.138033155,2.012505665,2.687566615,3.331444379,4.947094275,4.069868731,1.557754183,2.847188449,8636,278.2925403,285.9285735,297.7486992,306.5320462,312.0547539,315.7943703,314.6522358,311.1057203,306.1068987,299.4153054,289.0494109,279.481796,258.4074813,265.1623837,272.7457518,278.6837181,283.4396954,288.0361495,289.5752498,287.8346125,282.7313684,274.6333881,266.9197541,260.5784974,5,1171.794982,12
0.245265326,0.227678082,0.195056831,0.19610806,0.202359383,0.188249003,0.179762785,0.179618141,0.183527098,0.200300265,0.215340085,0.216622955,0.878986001,0.704539772,1.032787062,3.988556806,6.657650116,6.953361768,5.803858142,2.120928554,2.759106614,8993,277.2542499,284.6573679,294.8951846,304.1015718,310.3328945,311.881198,308.7442958,306.2357498,302.8141675,296.9451721,287.0112647,277.8197348,258.393319,264.670608,273.0329758,279.0188222,283.7175391,287.7527189,289.0900462,287.3767382,282.7808478,274.7539005,267.336063,261.0607744,5,1150.189143,12
0.325963337,0.276685033,0.252883298,0.227104869,0.209928953,0.192400296,0.186473388,0.186123481,0.197698215,0.221929761,0.247447047,0.292565666,2.077137689,1.653672715,2.48951223,7.161559874,8.606680954,6.971026578,3.786373842,2.230333692,3.678262193,11432,275.6856732,285.2831012,295.5800703,304.8784636,311.7105703,314.8513908,316.5626563,313.650185,306.328402,296.8727465,285.2675252,276.4704892,253.9080939,258.5424502,266.2372489,273.2153849,278.580084,285.1322326,288.5775166,286.540724,279.0569008,270.1181444,263.1396476,256.0044581,5,1348.099369,12
0.679261031,0.670590539,0.370557705,0.187939927,0.177869448,0.175230389,0.175014147,0.177867471,0.188821694,0.203432103,0.320009688,0.62522297,6.961812288,5.887310247,4.9655,9.04602307,11.97627059,7.4621875,4.262325239,5.545637754,6.337881944,27558,260.8048434,268.013308,286.2956701,299.4916338,304.7289306,307.5463473,306.5042544,305.7121061,298.8682425,288.6633215,275.0660717,262.5660112,251.2436007,254.8437847,265.1540863,272.5579618,277.5926177,283.7997116,285.7368461,283.3797927,275.931994,268.0264748,260.6895541,253.2773622,5,1254.25,13
0.281183451,0.241086803,0.218137641,0.207778694,0.194926542,0.185969718,0.177525899,0.174972568,0.177290028,0.194012008,0.217928919,0.229543614,0.737695759,1.458114534,2.768877329,3.024789209,3.063951074,4.069021457,4.299820718,1.704799877,2.166587601,3917,278.1143675,285.9165603,297.5352733,303.3581964,307.0322847,308.6347917,308.6047582,305.4563766,302.7244174,297.376156,288.0671722,279.3713617,258.8452691,264.6022531,272.7201711,278.8047034,282.6335101,286.4758532,288.3491844,286.8941493,282.2186145,274.4623048,267.3130354,260.9017969,5,1278.486726,13
0.296281147,0.242597798,0.232129584,0.218467408,0.217832656,0.202486109,0.202956864,0.206411256,0.212422908,0.228771238,0.243461453,0.276580618,0.739655172,0.367857143,0.683561644,3.754666667,4.894444444,5.464935065,4.414102564,1.725925926,3.634042553,15523,276.7227638,285.9206172,297.7109073,306.8729252,313.2367814,315.1721494,314.6857572,312.7827338,307.3845242,298.5952585,287.0191794,276.4774537,256.0349571,262.7617558,272.0165475,279.5250281,284.5797669,289.9353847,291.5072893,289.4206273,283.0709095,273.9310555,266.0662574,258.3175563,5,863.7851324,13
0.325889751,0.258252925,0.187889696,0.183575267,0.192941939,0.187037844,0.184908139,0.189865945,0.194332179,0.208782,0.226189744,0.246891625,1.129179936,0.582120287,0.670213531,3.25708082,5.524923384,6.50142121,5.537007133,2.132257725,3.633409651,17670,273.5205299,282.1493264,292.1755827,301.5733015,309.3029312,312.9944928,310.2077658,307.3403024,302.5594104,295.0418915,285.1642633,274.941005,256.8284159,263.1387588,272.9116422,279.0198985,283.517112,288.6234111,290.1842496,288.1281265,282.4925491,273.9447437,265.5713465,259.145047,5,894.3638796,14
0.307068629,0.262123383,0.215626762,0.181796337,0.167360048,0.161376391,0.158184246,0.157322145,0.152750519,0.171578263,0.274057545,0.325586705,6.214559701,5.636863734,6.375319387,10.54219342,18.18355748,15.52590187,9.309202533,6.258413211,5.987571547,6417,274.7457017,281.2166896,289.596827,296.8665281,301.950704,303.2781928,303.1262799,299.5023552,294.949301,289.4678743,280.671624,273.7626169,255.349803,258.0711052,264.2990987,269.3875181,274.5562685,279.7843726,282.5585225,281.0238276,275.8937332,269.3633963,262.7454755,256.917904,5,2563.255596,15
0.25048032,0.226434612,0.199889109,0.207907154,0.203116565,0.192872613,0.190873733,0.19359321,0.199778413,0.214938556,0.225135806,0.244873222,1.289498761,0.631281307,1.017777778,2.732489451,4.069583333,6.507542735,3.835,1.534152319,4.210844944,19804,272.502141,282.5934955,293.5797579,305.572446,313.9205748,318.0552875,318.5176078,314.1490718,306.6110714,295.5984535,282.7971635,272.5888963,251.4874472,257.7830617,268.4493261,275.2817681,280.8667688,287.6618258,291.0256266,287.272962,279.3635789,270.3139561,261.4273857,253.224512,5,921.8,16
0.426961715,0.270375133,0.179915257,0.164968418,0.165273136,0.163418307,0.164074695,0.169010461,0.169120666,0.174796783,0.221075748,0.376942452,8.513069986,7.359657303,7.735786912,10.24749039,12.8356931,9.976231786,5.752917602,5.508731028,6.153233239,22932,269.522716,277.2391939,290.4398504,301.1197512,306.3149181,310.0945049,309.0631551,307.3685923,301.4545474,290.7982292,278.8735723,269.4977049,256.3713368,259.795965,268.0660391,275.4268044,280.3718709,285.8706701,287.5322217,285.358519,279.2315631,271.6442045,265.3863558,258.2396832,5,1124.947977,17
0.285439195,0.23440903,0.224790765,0.217746997,0.212585825,0.209625749,0.211886208,0.210140033,0.207616027,0.214458349,0.224332633,0.23886585,4.385138709,3.270297402,4.376589111,6.229552016,5.798177631,6.448672566,5.627665089,4.36588467,5.252779106,7865,277.6142667,286.9864298,296.5547878,305.0543077,309.3897848,311.9747975,313.6885808,311.2639926,304.6218859,297.2424119,286.2173457,278.2721047,258.6545379,262.3368121,269.088407,275.1632188,280.1205018,285.7007051,288.8068987,287.0556539,280.966876,273.0198535,266.3366385,259.9451878,5,1628.310823,19
0.605188555,0.579778305,0.297721878,0.175475227,0.168806836,0.165648297,0.164053836,0.171943174,0.180987105,0.193053654,0.364401736,0.56008521,7.831206454,7.977764743,6.78556063,9.467986869,11.19186513,5.759896796,4.157172828,5.266110715,5.918211963,26587,262.977726,269.5093184,287.2242242,299.6589691,305.0493246,307.4117004,307.0097488,306.3495253,298.8980993,288.825962,274.7409488,265.4850326,254.9817028,257.4305956,266.3574935,273.0009797,277.7306517,283.2341049,285.5563679,283.5815076,277.0110221,269.8470516,262.9452449,257.116143,5,1398.583564,20
0.379961291,0.366333435,0.242161323,0.207748562,0.181763088,0.173276439,0.168168801,0.166996473,0.175864517,0.200720756,0.245711769,0.314852293,3.203376045,2.533607315,4.963917346,8.480427559,10.09228386,8.445700158,5.093774285,2.865279786,4.406499851,13019,273.3416932,281.7932412,294.6681518,304.2288174,309.701658,313.0285194,312.6535575,309.2167325,302.4785078,294.6449927,284.6070756,274.7507279,254.6777745,261.3496414,269.7608534,276.1166656,280.9736836,286.0089957,288.4435865,286.961998,281.5067624,273.2457232,265.1770502,257.4372242,5,1602.197007,21
0.619308412,0.639172879,0.353383002,0.211218139,0.219251869,0.215809641,0.213964651,0.212336934,0.214244071,0.218026545,0.26031981,0.533885081,3.21217991,1.860049229,1.275294539,2.71956292,4.262682893,4.599859474,3.493982916,2.805284611,5.369536114,25242,255.6094158,262.9874972,287.7455236,305.6806743,312.6400587,316.9524495,316.0543489,313.368848,305.4733219,292.3469168,277.7741746,259.6413382,245.2067258,250.249807,268.0235776,277.3452259,282.7378247,288.7658057,290.1954744,287.1691946,279.7385687,271.0596712,263.2840715,250.3383725,5,374.7517174,22
0.265913084,0.221046967,0.205856743,0.200402989,0.199428242,0.189842373,0.184470883,0.184181062,0.188593256,0.204566743,0.219982889,0.257030379,0.936047936,0.58505457,0.719039112,2.235336183,4.115123746,5.432946409,4.483985457,1.553671883,3.587264093,16751,275.3768349,283.276835,293.5933265,302.2317156,309.4303877,313.6069035,311.8774631,308.0942038,303.0145971,295.6430875,285.1111186,275.2621294,256.1574608,263.2139418,272.0045867,278.2120359,282.8387632,287.8238025,289.7935069,288.1187184,282.631706,273.7741118,265.8972204,258.0818672,5,922.61668,22
0.285865856,0.223215776,0.154724133,0.166801632,0.18327473,0.172944296,0.170762723,0.167971957,0.16763729,0.180649869,0.176335648,0.184434145,0.730136766,0.5925851,0.952956035,6.624585966,11.11148518,10.76327725,6.691823258,2.145609142,3.422447494,13774,275.4345591,281.3206565,290.3109308,301.7054583,306.6285293,305.3992916,303.522162,301.6422529,299.1817455,294.670852,283.7980973,275.6608014,259.2915911,265.3317595,273.6696825,279.4983874,285.2703747,289.2782529,290.0358392,288.7319198,283.707007,275.7008414,269.6524392,262.8269207,5,1026.273934,25
0.689003995,0.699334412,0.449003344,0.180388685,0.178461596,0.176462569,0.176271897,0.184163781,0.190098823,0.197899993,0.37724908,0.651598266,6.579980589,6.484896251,5.148961046,8.179148864,9.558790742,5.338506506,3.541180062,4.789992058,5.691772007,26686,260.1696601,265.1513032,282.5510855,302.0167031,307.466378,310.7598015,310.6815984,310.0801158,301.9342843,290.2492081,274.2185831,261.5967642,252.0439677,254.6619615,267.2508038,275.2788377,280.2335546,286.2110862,288.455208,286.295572,279.1029808,270.7928827,262.4511512,254.5666265,5,987.3115142,26
0.640707544,0.630140368,0.413795123,0.202906734,0.190959037,0.184959742,0.178167435,0.183777366,0.198173016,0.217928063,0.359923907,0.600175109,6.137022042,4.829416196,4.014666667,8.167023694,11.46,11.27375,4.91,4.910847458,5.941461412,27948,257.5671439,262.8655345,279.6088732,296.8881731,303.2258534,306.2970198,306.9592251,304.1921195,296.2853531,284.6713583,269.8420551,258.9034904,250.269989,253.2686504,264.4141931,272.7686604,278.0465397,284.271136,286.1033048,284.1671407,276.3010109,268.2398843,260.3769242,253.0990571,5,1154.333333,26
0.634795345,0.661379865,0.359310631,0.176886987,0.183656074,0.184118685,0.188703085,0.18842982,0.189180972,0.191899879,0.269467166,0.557761093,3.141241046,2.054907486,1.762832347,3.301820088,4.94221097,4.952269025,3.751397929,2.82332895,4.925686391,25089,255.827856,262.9239428,287.8914276,307.1934814,314.5827871,319.8340358,319.1857235,316.2014455,307.4043569,294.1005206,278.3253151,259.2215844,244.6019531,249.679231,267.5269752,276.7299433,282.0353854,288.370236,290.3201513,286.9228513,279.3127351,270.4362511,262.2966862,250.0347932,5,405.5088757,27
