FID,Id,Name,flag,Field1,Unnamed__0_x,LST_Day_01_x,LST_Day_02_x,LST_Day_03_x,LST_Day_04_x,LST_Day_05_x,LST_Day_06_x,LST_Day_07_x,LST_Day_08_x,LST_Day_09_x,LST_Day_10_x,LST_Day_11_x,LST_Day_12_x,Id_1,LST_Night_01_x,LST_Night_02_x,LST_Night_03_x,LST_Night_04_x,LST_Night_05_x,LST_Night_06_x,LST_Night_07_x,LST_Night_08_x,LST_Night_09_x,LST_Night_10_x,LST_Night_11_x,LST_Night_12_x,Unnamed__0_y,ET_03_x,ET_04_x,ET_05_x,ET_06_x,ET_07_x,ET_08_x,ET_09_x,ET_10_x,ET_11_x,ET_01_x,ET_02_x,ET_12_x,Unnamed__0,Albedo_01_x,Albedo_02_x,Albedo_03_x,Albedo_04_x,Albedo_05_x,Albedo_06_x,Albedo_07_x,Albedo_08_x,Albedo_09_x,Albedo_10_x,Albedo_11_x,Albedo_12_x
1287,1288,Nanjiang,2,628,784,0.440443499999958,0.276473800000019,0.235181099999977,-0.538346200000035,-0.650678700000014,-0.091807899999935,-3.358871500000021,-1.495602200000008,-0.970777999999996,-0.702875500000005,0.045190700000035,0.668444900000054,1288,-0.432048199999940,-0.240344700000037,0.049300600000038,-0.048844199999962,-0.258686100000034,-0.363002899999969,1.496354899999972,0.940451999999993,0.161869800000034,0.026452900000038,0.322192899999948,0.297462900000085,689,0.180997514000000,0.180724453000000,0.400827365000000,1.291473805000000,0.319415868000001,0.070287532000001,-0.114085837000000,0.164605250000000,0.029417836000000,0,0,0,722,-0.022940626000000,-0.022168885000000,-0.004041581000000,0.001044567000000,0.004672578000000,-0.002827217000000,-0.000764815000000,-0.004809812000000,-0.008950493000000,-0.006023872000000,-0.003653919000000,0.023397957000000
1288,1289,Nanjiang,2,312,405,-1.462666000000070,-0.904186600000003,-0.059570900000040,-1.234892899999977,-1.028614700000049,-2.205185900000004,-1.714924999999994,0.025037200000043,0.137544699999978,-0.112984400000016,-0.293375000000026,-3.137244699999940,1289,0.058968999999991,-0.431464200000050,-0.249220499999979,0.310043799999960,-0.140554799999961,1.094124399999942,1.813125700000001,0.336636300000009,-0.330182100000059,-0.134695700000009,-0.347866899999985,-0.183056899999997,343,0.176298701000000,0.208333334000000,-0.329924242000000,3.206024536000000,-1.181872296999999,0.418749999999999,-1.322321429000000,-0.248333333000000,-0.080395022000000,0,0,0,372,0.035510842000000,0.005653566000000,0.007462821000000,0.012715243000000,0.007333615000000,0.012996080000000,0.013872978000000,0.028035196000000,0.018887647000000,0.009167658000000,0.013597258000000,-0.011471042000000
1436,1437,Nanjiang,2,681,847,-0.635376100000087,-0.567507499999977,-1.103122799999994,0.243306799999971,0.374642599999959,-0.306656800000042,-1.121853700000031,-1.182007600000020,-0.965582699999970,-0.484963499999935,-0.343770099999972,-0.082577399999991,1437,0.239380100000005,0.019113799999957,0.040185300000019,-0.594493699999987,-0.549346499999956,0.140932500000019,-0.581302800000003,0.007036400000004,-0.010328700000059,-0.062141800000063,0.403796100000022,0.192649600000038,745,0.141732666000000,-0.555354486000000,-0.176861450000001,-1.848321061000001,-0.613143464999999,0.279259043000000,0.643226987999999,0.300376570000000,0.031182257000000,0,0,0,781,0.027155393000000,0.007732574000000,-0.016815918000000,0.001262371000000,0.000394784000000,0.009743968000000,0.004911294000000,-0.004032082000000,-0.007190912000000,-0.018077072000000,-0.009947679000000,-0.012934640000000
1761,1762,Nanjiang,2,118,153,-0.342208599999935,-0.859009000000015,-0.958790799999974,-0.193006900000057,-1.103276700000038,-1.923335900000041,0.149113999999997,-0.833496400000001,-0.732015299999944,-0.169892799999957,-0.104590600000051,-0.366299099999992,1762,-0.218755600000009,-0.402276900000004,-0.369723099999987,0.091713000000027,0.160222799999985,0.409656700000028,-0.017063000000007,0.025511499999993,-0.074456399999974,-0.216919299999972,0.064660799999956,0.125159300000007,137,0.214444445000000,0.242777778000000,0.781818182000000,1.458820346000000,1.969621212000000,1.512500000000000,0.975000000000000,0.095000000000000,-0.012678571000000,0,0,0,136,-0.005210661000000,-0.006935252000000,0.000066464000000,-0.003234638000000,-0.001559023000000,-0.002618185000000,-0.003832218000000,-0.001370234000000,-0.002757567000000,-0.004321840000000,-0.000381931000000,0.001436289000000
1762,1763,Nanjiang,2,96,126,-1.329482299999995,-0.786490200000003,-1.452406699999983,-1.392005200000029,-2.522653499999990,-1.673368899999957,-3.886389100000031,-1.890079699999944,-1.079370600000005,-0.745469699999944,-0.302441999999985,-0.309014700000034,1763,-0.013767299999984,-0.477731399999982,0.249834599999986,0.528723000000014,0.226083300000027,1.057333799999981,-1.529190499999970,-0.748679700000025,-1.204305699999964,-0.112612400000046,-0.264482300000054,-0.472865999999954,113,0.153646465000000,0.252777778000000,1.192954545000000,0.929783553000000,1.691642136000000,0.540793651000000,0.059404761999999,0.052444444000000,0.067945888000000,0,0,0,109,-0.011260998000000,-0.015665652000000,-0.010301317000000,0.001210376000000,-0.002240726000000,0.001218725000000,-0.008833219000000,0.001501263000000,-0.003190391000000,-0.010994552000000,-0.008873131000000,-0.024564717000000
2110,2111,Nanjiang,2,303,393,-0.787508399999979,-0.651718599999981,-1.095923799999980,-2.241378699999984,-2.269053900000017,-3.589397599999984,-2.639749399999971,-0.622024600000032,-1.410735599999953,-0.656968800000016,-0.485076199999980,-1.348674599999981,2111,-0.524278500000037,-0.254480300000011,-0.334787600000027,-0.348858099999973,0.181298400000003,0.136090299999978,-0.806803099999968,-0.747614399999975,-0.293086900000048,-0.051426400000025,0.074869000000035,-0.055542800000012,334,0.181226018000000,-0.148175365000000,0.034550860000000,0.430395564000000,0.447076736000000,-0.397577671000001,-0.083154033000000,0.032142778000000,0.102101303000000,0,0,0,361,-0.009882621000000,-0.014845894000000,-0.012978104000000,-0.015070027000000,-0.008695986000000,-0.008376491000000,-0.012488238000000,-0.009947337000000,-0.012099380000000,-0.010949156000000,-0.008229183000000,-0.003427335000000
2111,2112,Nanjiang,2,381,487,-0.496857400000010,-0.751505199999997,-0.403078299999947,-1.177370999999937,-1.288462999999922,-2.644829599999980,-2.505074699999966,-0.636661300000014,-0.802637299999958,-0.434596899999974,-0.245888499999978,-0.793624400000056,2112,-0.556261400000039,-0.575984199999994,-0.043614699999921,-0.296039000000064,-0.139898200000005,-0.541992600000015,-0.605570699999930,-0.619289499999979,-0.257596599999943,-0.246606899999961,-0.119581900000071,-0.068384499999979,420,0.285720923000000,0.613677704000000,1.092099434000000,0.520392978000000,-1.056386258000000,0.437063223000000,-0.099470749000000,-0.151363562000000,-0.228411576000000,0,0,0,447,-0.023360589000000,-0.008987574000000,-0.033485968000000,-0.022558207000000,-0.022263307000000,-0.017214904000000,-0.000105191000000,-0.012816317000000,-0.011511992000000,-0.017459350000000,-0.016746601000000,-0.016114099000000
2112,2113,Nanjiang,2,443,559,-1.867959799999994,-0.776816499999995,-0.306893500000001,-2.194554599999947,-1.602654400000006,-2.688861500000030,0.064115999999956,-0.869568799999968,-1.419343699999956,-0.552578999999980,-0.024705100000006,-0.850822999999991,2113,-0.275720100000001,-0.408197999999970,-0.121327399999984,-0.003907099999992,0.050253399999974,-0.132081999999969,-0.462436199999956,-0.123309799999959,-0.345615500000008,0.026385899999980,-0.352916399999970,0.161298299999999,487,0.017346937000000,-0.030299396000000,0.378927588000000,-0.268419324000000,-1.368658448000001,-0.856800370000000,-0.593101624000000,0.078346784000000,-0.044009664000000,0,0,0,514,0.082309102000000,0.058912320000000,-0.018308187000000,-0.015447510000000,-0.013411753000000,-0.012372831000000,-0.010682842000000,-0.015816621000000,-0.008549791000000,-0.018581247000000,-0.007611728000000,-0.019951590000000
2284,2285,Nanjiang,2,419,531,1.109012300000018,-0.676686299999972,-0.900940200000036,-0.172456300000022,-1.216635700000041,-2.879863400000033,-0.358072700000036,0.528439299999945,0.254548600000021,0.147674800000004,0.067452500000002,0.151604099999986,2285,-1.030568599999981,-0.556795500000021,-0.449144699999977,-0.094526000000030,0.471579399999939,0.273156399999948,-0.149304100000052,-0.745630199999994,-0.441230700000006,0.085285599999963,0.141651899999999,-0.417581699999971,462,-0.020716061000000,0.265170553000000,-0.628922900000001,-0.082750567000000,1.419970275000000,0.365566348000000,0.982680495000000,0.258342152000000,0.037945900000000,0,0,0,487,-0.029010305000000,-0.005829409000000,-0.015183185000000,-0.009866763000000,-0.013021424000000,-0.019269625000000,-0.013460803000000,-0.008631361000000,-0.010023023000000,-0.014593267000000,-0.008875980000000,-0.022367927000000
2285,2286,Nanjiang,2,559,699,1.096309600000040,0.358009600000003,0.256647699999974,-1.390027899999950,-1.444281200000091,-2.707594900000004,0.393666100000019,1.056486399999983,0.046771799999988,-0.046476100000007,0.334042200000056,-0.139618099999950,2286,-1.229176499999994,-0.618964900000037,0.188632399999960,0.866565400000013,0.772579800000017,0.802292899999998,0.144900400000040,0.491934399999934,-0.098050100000023,0.328150199999982,-0.051552000000015,-0.017471400000033,613,-0.078740284000000,0.507537409000000,0.539129578999999,0.700509631000000,-1.001982708000000,0.302198611000000,-0.776599117000000,0.048634207000000,-0.138994071000000,0,0,0,645,-0.032406591000000,-0.013279477000000,-0.005204124000000,-0.002338594000000,-0.018100209000000,-0.031696085000000,-0.032185013000000,-0.020712979000000,-0.024797556000000,-0.003907438000000,-0.006440808000000,-0.007428416000000
