FID,Id,Field1,Unnamed__0_x,LST_Day_01_x,LST_Day_02_x,LST_Day_03_x,LST_Day_04_x,LST_Day_05_x,LST_Day_06_x,LST_Day_07_x,LST_Day_08_x,LST_Day_09_x,LST_Day_10_x,LST_Day_11_x,LST_Day_12_x,LST_Daymean,Name,flag,Id_1,LST_Night_01_x,LST_Night_02_x,LST_Night_03_x,LST_Night_04_x,LST_Night_05_x,LST_Night_06_x,LST_Night_07_x,LST_Night_08_x,LST_Night_09_x,LST_Night_10_x,LST_Night_11_x,LST_Night_12_x,Unnamed__0_y,ET_01_x,ET_02_x,ET_03_x,ET_04_x,ET_05_x,ET_06_x,ET_07_x,ET_08_x,ET_09_x,ET_10_x,ET_11_x,ET_12_x,ETsum,Albedo_01_x,Albedo_02_x,Albedo_03_x,Albedo_04_x,Albedo_05_x,Albedo_06_x,Albedo_07_x,Albedo_08_x,Albedo_09_x,Albedo_10_x,Albedo_11_x,Albedo_12_x
23710,23712,10,13,0.3441195,-0.0139292,0.0584136,2.0708946,-0.1725412,-3.7011127,-3.2160484,-1.5126269,2.2795619,0.0857585,0.389084,0.4250955,-0.246944233,Beijiang,1,23712,-0.5324067,-0.5540861,-0.6970467,-0.377303,-1.2547617,-0.3195255,-0.3485278,0.037201,0.0642891,-1.1514796,-0.4642555,0.2670102,13,0,0,-0.068529558,-0.653317527,-0.930261743,8.4103253,8.875031026,1.958726891,-1.50050452,0.160031208,-0.193165853,0,16.05833522,0.037019675,0.002409815,0.014377778,0.010140168,0.008613834,0.004184163,0.003759063,-0.000591907,0.009277045,0.014018368,0.005556072,0.037767936
23789,23791,50,61,-0.071643,-0.1804679,0.7096472,-0.6596835,-0.6215142,-0.0621002,-0.2446113,-0.0069618,0.0307663,0.5990254,-0.2378011,0.1445742,-0.050064158,Beijiang,1,23791,0.0395708,0.2144879,0.0771371,-0.3601743,-0.1143751,0.0529903,-0.1958309,0.1269619,-0.0227863,-0.2184925,-0.0325738,-0.0774279,59,0,0,-0.038168768,0.266489682,0.577078531,0.549983611,0.547911117,0.4713913,0.096535352,-0.050604763,0.056567791,0,2.477183853,-0.023695287,-0.032221993,-0.014689839,0.000791701,-0.002052066,0.000289407,-0.001464806,-0.0009513,-0.000894308,-0.012220399,0.007677929,-0.014861597
23925,23927,146,170,-0.6177098,-0.3270531,-0.5948984,0.409622,0.8870515,-3.1992064,-0.8537896,-0.3284432,-2.087814,-0.9400981,-1.0992811,-1.731009,-0.873552433,Beijiang,1,23927,1.1257089,1.0745981,0.7987795,-0.1841302,0.4770834,-0.0824715,-0.5033207,0.2353273,-0.1816873,-1.0701296,-0.266485,-0.7859286,168,0,0,0.339950145,-0.096994998,-1.442274496,4.807828194,10.09764613,9.47814048,3.620087523,-0.244456011,0.095542194,0,26.65546916,-0.022970914,-0.000238637,-0.03939383,0.009828375,0.011638737,0.008466301,0.007521732,0.001411968,-0.002452826,0.032464799,0.054272938,-0.035315469
23975,23977,66,80,-0.2465979,-0.2577094,-0.6258116,-0.1183914,-0.1696891,-0.2271205,-0.3440856,-0.498014,0.4313042,0.0829271,0.7711638,0.6294268,-0.047716467,Beijiang,1,23977,-0.1558728,0.0559646,-0.2270993,0.2737119,0.3466862,0.1768482,-0.1936489,-0.1108814,0.062553,0.1351327,0.2205015,-0.2500853,78,0,0,-0.000616423,0.097049955,-0.193752503,-0.596153428,0.094504496,1.255021534,0.130941016,-0.177103592,0.101996128,0,0.711887183,0.02278985,0.008467381,0.024464533,-0.002039996,-0.000185987,-0.003001981,-0.005421665,-0.007219357,-0.006710938,-0.00657859,-0.001354416,-0.00213585
24124,24126,39,46,-0.4621168,-0.3697981,-0.1656682,-1.1989447,-0.5170335,-2.2424665,-3.9932922,-3.3980269,-1.4383536,0.0913249,0.3484737,0.697452,-1.054037492,Beijiang,1,24126,-0.0742504,-0.6276706,-0.7106063,-0.7806218,-0.0270378,-0.1629488,-0.6405867,-0.7642571,-0.0848473,-0.5568322,-0.4855179,-0.34514,46,0,0,0.024733404,0.880773851,-0.923106478,4.602649451,7.884196046,7.77873779,3.377778173,-0.045266245,-0.621103811,0,22.95939218,0.03874992,0.039948507,0.012142009,0.010597914,0.021034961,0.015598558,0.022318799,0.021143759,0.01740875,0.022408874,0.005856246,0.032687847
24136,24138,49,59,0.4380393,0.2973887,-1.3338033,-3.3996396,-1.8521795,-2.3113882,-2.1702316,-1.9865516,-1.7124375,-1.338136,1.4750058,2.8748649,-0.918255717,Beijiang,1,24138,-0.1190874,0.6609672,-0.1427266,-0.5962787,0.6218695,0.4007005,0.9088583,0.2895413,0.3676957,-0.4571665,0.1023129,1.650703,57,0,0,0.195526502,0.789157133,2.235273139,6.545116662,4.841594771,3.952623045,1.062273994,0.219613109,-0.329950544,0,19.51122781,-0.050173955,-0.076827164,-0.004190087,-0.010469752,-0.005471046,-0.009870836,-0.006804134,-0.015552668,-0.017175836,-0.021050089,-0.033760014,-0.116091217
24137,24139,67,81,0.3123962,0.7598675,-1.5973709,-2.2419042,-1.0543605,-1.2902794,-2.3531608,-2.0975521,-2.0943803,-0.9502047,0.373997,1.4938518,-0.894925033,Beijiang,1,24139,-0.6921824,0.5495969,-0.1776892,-0.1419452,0.0319605,0.0426819,0.6265628,0.1141296,0.5096994,-0.1536121,0.0213997,0.74154,79,0,0,-0.199144219,0.409053891,1.128167793,3.925885751,2.977749915,2.973302487,1.524617042,0.545157514,0.115490532,0,13.40028071,-0.003125187,-0.053821374,-0.026712108,-0.016355238,-0.018732248,-0.017167076,-0.012809891,-0.012524389,-0.015168641,-0.010701605,-0.010216192,-0.056400807
24283,24285,0,0,-0.0498183,-0.0730292,-0.2290542,0.3749742,0.1626254,1.25542,1.4642053,1.6937641,0.9366495,0.2179478,0.2770708,-1.0876511,0.411925358,Beijiang,1,24285,0.1189461,0.0433303,-0.037804,-0.0916924,-0.0476832,0.2495857,0.0672829,0.0644118,0.0639611,-0.2229435,0.3110787,0.3330028,0,0,0,-0.972549629,0.006157161,-0.367615826,-0.912761857,-4.691495952,-4.216635808,-1.730776896,-0.384843905,0.655123334,0,-12.61539938,0.066868225,0.01127318,0.007696865,0.000047981,-0.001379414,0.003557376,-0.00085113,0.001937219,0.003113945,0.0057141,0.012394286,0.022719782
24288,24290,81,98,-0.0526794,0.4696649,1.2615083,0.8793148,0.152394,0.4173027,0.8412675,-0.1496369,-0.5216674,-0.0398003,-0.4454237,0.3074251,0.259972467,Beijiang,1,24290,-0.2641524,-0.1237332,-0.0688663,-0.208512,0.0185589,-0.2952988,-0.5568229,0.0582225,-0.2144081,0.2070205,0.4393233,0.4156574,95,0,0,0.307621643,0.969149636,2.688748006,1.096499952,0.005084147,0.805410199,0.387500236,0.537029967,-0.309819952,0,6.487223834,0.055950193,0.018396388,0.007864463,0.00135077,0.002032617,0.006009833,0.006692293,-0.001354206,-0.000817931,-0.000132101,0.001390238,0.029108271
24298,24300,31,38,0.4335807,-0.2598546,-0.721423,-0.6838956,-1.1585082,-1.1486345,-0.7070018,-0.2740409,-0.0257241,-0.1145652,0.6370346,-0.3703524,-0.366115417,Beijiang,1,24300,-0.1322069,-0.1586897,-0.2392987,-0.0399021,-0.328067,-0.101851,0.0860286,-0.226162,-0.0180714,0.0213224,-0.2837404,-0.7416277,38,0,0,-0.317448134,0.611545318,2.205451869,2.618276708,2.692546215,1.911026007,0.441955831,0.008622524,-0.8542921,0,9.317684238,0.012533654,0.009297433,0.032564841,0.005928237,0.009670858,-0.000781249,0.000239179,-0.004355708,-0.008086466,-0.014538591,-0.001365083,-0.050206436
