,dT_Al_05,dT_RI_05,dT_LE_05,dT_H_05,dT_EM_05,dTc_05,dTo_05,dT_Al_06,dT_RI_06,dT_LE_06,dT_H_06,dT_EM_06,dTc_06,dTo_06,dT_Al_07,dT_RI_07,dT_LE_07,dT_H_07,dT_EM_07,dTc_07,dTo_07,dT_Al_08,dT_RI_08,dT_LE_08,dT_H_08,dT_EM_08,dTc_08,dTo_08,dT_Al_09,dT_RI_09,dT_LE_09,dT_H_09,dT_EM_09,dTc_09,dTo_09,dT_Al_GS,dT_RI_GS,dT_LE_GS,dT_H_GS,dT_EM_GS,dTc_GS,dTo_GS,Id
26,-0.13768421002255815,0.018554741841212686,-0.0714452216467257,0.3676588282805289,0.006082443769266319,0.18316658222172405,0.1731137680823167,-0.16016710758190258,0.005201434634292021,-0.23342014967000244,0.8402577769697335,0.01828693340558882,0.4701588877577093,0.46070764551484444,-0.36777624208481463,-0.010141247706422466,-0.4492163967256828,1.0178253554859236,0.005531968445147931,0.1962234374141516,0.1937674543979142,-0.36969429956557326,0.0012362208230866168,-0.7673499834477278,1.3658518622438445,0.015367191173114707,0.24541099122674473,0.2086055015471402,-0.34457142164801136,-0.003278068342054971,-0.493475962821783,0.766085084260015,0.008980804319910093,-0.06625956423192426,-0.06866453888744672,-0.275978656180572,0.002314616250022778,-0.4029815428623843,0.8715357814480091,0.010849868222605575,0.20574006687768107,0.19350596613095378,16438
27,-0.13730241316876549,-0.004239171047162031,0.028438617717540325,0.5166394155325807,0.019999987586359444,0.423536436620553,0.42376098206335655,0.34643508085770586,0.007755160358172218,-1.0608315714215444,0.19152256676601448,0.02261413604593259,-0.4925046273937193,-0.4821914711354225,0.24855396007035313,-0.011252466035220898,-1.19868928153636,-0.5946827281153967,0.010095024708615228,-1.5459754909080092,-1.5323953721502335,0.45102173277380886,0.022226600131601135,-1.3267479171675745,-0.3087324515146985,0.016040063794136382,-1.1461919719827265,-1.1343627293521763,-0.0028543652945707677,-0.008521421169083623,-1.32671799232634,0.8484652562562754,-0.002612157070319565,-0.4922406796040384,-0.4862957684349567,0.18117079904770633,0.0011937404476613602,-0.9769096289468557,0.1306424117849551,0.013227411012944817,-0.6506752666535881,-0.6422968718018864,16459
28,0.24104317702316433,0.0025632723460817393,0.4354169722051239,-0.08268905158108945,-0.0007099963323541893,0.5956243736609265,0.5856751901917505,0.1803939954124685,0.03155157526089607,-0.08193535571830776,-0.4956016519810698,-0.003340768743440201,-0.36893220576945324,-0.3562312732297528,0.38226089523019513,0.054957825443595815,0.4332668851935605,-0.8894593494944031,-0.013831262208332628,-0.032805005835384246,-0.058453682630727144,0.20820613895263929,0.04165936683455253,-0.3158900544417295,0.13572422979942533,0.0018140176944695652,0.07151369883935718,0.06590205056738796,0.03350745425065624,0.03830880213243912,-0.3140836823395058,0.28101482813764367,-0.004384579850323839,0.0343628223309094,-0.046291230701967834,0.20908233217382466,0.033808168403513056,0.03135495297982825,-0.21020219902389864,-0.004090517887996258,0.0599527366452711,0.03812021083933814,3396
29,-0.0491432641613374,0.027414756438041595,0.2892282352721363,-0.45828537545355824,-0.008362542415154868,-0.1991481903198726,-0.20600568659227747,0.7217134715062109,0.0069160889053865564,-0.972691309550464,-0.41986323895961725,-0.009215844363589855,-0.6731408324620738,-0.5857147255608197,-0.532550049076557,-0.0630475293369283,0.5464673552509541,-0.02566160299525526,-0.004606539798621858,-0.07939836595640824,-0.07464135384151405,0.7199703440824934,0.011488978665832131,1.0705300248667884,-1.4934365259948639,-0.010451358985070776,0.2981014626351792,0.27750154677374894,-0.03844495307027576,0.11013621673829416,1.132126942605076,-1.1683931007204804,-0.007933850736736288,0.027491254815877733,0.0576290972011293,0.16430910985610683,0.018581702282125228,0.41313224968889817,-0.7131279688247549,-0.00811402725983473,-0.12521893425745953,-0.1062462244039466,20144
30,0.13007589398917335,0.01389641966143086,-0.305487124422794,0.5823859084740931,-0.01669112485476937,0.4041799728471339,0.38882139465943055,0.1132975303405806,-0.03400553020857608,-2.197804320956648,2.1398170961261664,-0.0005877305587070181,0.02071704474281573,0.049206020252142935,0.11509589633098839,0.04026828139072099,-3.122547244315596,3.9506730402124575,0.007563336323021042,0.9910533099415918,0.9759408756513039,0.14936533096058371,0.01315178759650248,-2.846889031414591,3.4253163988252733,-0.00624531529943294,0.7346991706683356,0.7126086386441557,0.2475558633179926,0.008517140670623976,-0.5135461652732697,0.4842009810212032,-0.017879440317721592,0.20884837941882844,0.19850652308724648,0.15107810298786373,0.008365619822140447,-1.7972547772765801,2.116478684931839,-0.006768054941521976,0.47189957552374107,0.4650166904588559,24465
31,0.20602343637103784,0.020423825146264153,0.17787164117638252,-0.8368514817950632,0.004255030853750573,-0.4282775482476281,-0.4282899041722885,0.05954113017712431,0.041427795887831104,0.2715483128437223,-0.9838765828381244,0.007313970398321073,-0.6040453735311256,-0.6072170617036932,0.10286305829995585,-0.010932298308056384,0.14093750194314114,-0.3618480382118835,0.013841147344714177,-0.1151386289321287,-0.12011706134438782,0.23731245766130937,0.016370486653530733,0.07170362680971828,-0.43649584574907724,-0.005996578019342734,-0.1171058526438616,-0.131653188935843,0.3504403309531556,0.011367071133283516,-0.10463587316514869,-0.403956932789122,-0.0064542442978491165,-0.15323964816568073,-0.149719513980358,0.19123608269251663,0.015731376102570624,0.11148504192156312,-0.6046057762766541,0.0025918652559187945,-0.283561410304085,-0.2873993460273141,16752
32,0.3800003830253981,0.007317785602571975,0.01110840144999729,0.07223611216118377,-0.007302439312720846,0.4633602429264303,0.46205397615142374,0.19924626744724833,0.041275781870686354,-1.0645910818864794,1.102237673812505,0.019181578938318983,0.2973502201822793,0.28982928714560785,0.024765831429478122,-0.028014894828227038,-3.2488239659481954,2.798515371652091,0.011670546189048416,-0.44188711150580484,-0.4363184429996636,0.04546783663711766,0.011642536160219312,-3.0858860811445723,2.57000363814719,0.0027276773921102353,-0.4560443928079353,-0.45807593034584215,0.04415847944164204,0.04990220544274074,-0.25979707660091145,-0.10599227754099205,0.010759597787112569,-0.26096907147040815,-0.2597593505346367,0.13872775959617684,0.01642468284959827,-1.5295979608260322,1.2874001036463956,0.007407392198773871,-0.07963802253508774,-0.08045409211662218,20139
33,0.30187701992265015,0.021257142505177982,0.0012710013466214023,-0.08143040116058198,0.014209931279797996,0.2571846938936655,0.25460510743789655,0.42996524781358597,0.053168555497724986,-1.2996472896552769,0.6036233489189332,-0.011528297786431168,-0.22441843521146387,-0.21945661515155734,0.36637127664129476,-0.04520663190911202,-1.2846181048259824,0.0812865922894563,-0.0031819804718733447,-0.8853488482762166,-0.8569368377411024,0.1341693062105194,0.041738343866215784,-0.6941962353996518,0.20139510670108726,-0.0026967020298123974,-0.31959018065164174,-0.33761674886363835,0.2155122870424115,0.06687977548557125,0.07201209223948536,-0.34885740397053083,0.00722750997649806,0.012774260773435343,0.036282340530362944,0.2895790275260924,0.027567437089115597,-0.6410357072589609,0.0912034485556728,0.0008060921936358292,-0.2318797018944443,-0.22462455075760773,20140
34,-0.6225074043343789,0.011186932957345675,1.2068123918842022,0.5911694447195192,0.007191645026527212,1.1938530102532152,1.2104806023759807,-0.7059405921212955,0.044127925496568965,1.990876594101861,-0.060940979495732496,-0.009933510505784622,1.258189437475617,1.3060243761254924,-0.4002230853304609,-0.03800113888882867,-1.3357350825753376,2.0059176061571047,-0.002696511232330396,0.2292617881301472,0.34470466930787325,-0.2565515161935781,-0.0014722041924437775,-2.538938792016102,3.0405271553968944,0.01499364753878248,0.2585582905335529,0.268916648119216,-0.14512519974314544,0.008747471531159644,-0.5150612021603145,0.5420227576939025,0.006273414676196842,-0.10314275800220092,-0.12330228713642555,-0.42606955954457176,0.0049177973807603675,-0.23840921815313823,1.2237391968943376,0.003165737100678303,0.5673439536780662,0.6013648017584273,28429
35,-0.02908061811230689,0.04024408022229506,0.16507459386059284,-0.26033579025195785,-0.01855915546752736,-0.1026568897489042,-0.12042476353917664,-0.22968555884918543,-0.033575528209841415,0.7661863571592049,0.23174361021051265,0.008162643048252788,0.7428315233589434,0.8233660906793716,-0.5049373510447339,0.038517110946997085,-1.4531590628214426,2.777383312116622,0.0007052980343854585,0.8585093072318278,0.8636065605132899,-0.2908331521884093,0.0070867410399743725,-1.0221801606841299,1.6517808484257932,0.0019610940328879094,0.34781537062611634,0.3453791240889359,-0.18855313701917426,0.0013200056203150588,0.05937626802017616,0.6590922585178219,0.004073484870091549,0.5353088800092304,0.5022333216360835,-0.24861796344276194,0.010718481923948031,-0.2969404008931197,1.0119328478037584,-0.0007313270963819314,0.4763616382954428,0.48283206667570083,27308
