,ETd_BJr,ETd_BJp,ALd_BJr,ALd_BJp,ETn_BJr,ETn_BJp,ALn_BJr,ALn_BJp,ETd_NJr,ETd_NJp,ALd_NJr,ALd_NJp,ETn_NJr,ETn_NJp,ALn_NJr,ALn_NJp,ETd_HXr,ETd_HXp,ALd_HXr,ALd_HXp,ETn_HXr,ETn_HXp,ALn_HXr,ALn_HXp,ETd_NWCr,ETd_NWCp,ALd_NWCr,ALd_NWCp,ETn_NWCr,ETn_NWCp,ALn_NWCr,ALn_NWCp
May,-0.526 ,0.000 ,0.072 ,0.047 ,-0.054 ,0.139 ,-0.166 ,0.000 ,-0.303 ,0.000 ,0.462 ,0.000 ,-0.043 ,0.276 ,-0.073 ,0.065 ,-0.501 ,0.000 ,0.269 ,0.000 ,0.180 ,0.003 ,-0.350 ,0.000 ,-0.427 ,0.000 ,0.290 ,0.000 ,-0.001 ,0.972 ,-0.149 ,0.000 
Jun,-0.748 ,0.000 ,0.224 ,0.000 ,-0.038 ,0.300 ,-0.315 ,0.000 ,-0.332 ,0.000 ,0.333 ,0.000 ,0.157 ,0.000 ,-0.187 ,0.000 ,-0.363 ,0.000 ,0.260 ,0.000 ,0.148 ,0.015 ,-0.363 ,0.000 ,-0.595 ,0.000 ,0.274 ,0.000 ,-0.009 ,0.721 ,-0.253 ,0.000 
Jul,-0.793 ,0.000 ,0.203 ,0.000 ,-0.445 ,0.000 ,-0.270 ,0.000 ,-0.430 ,0.000 ,0.336 ,0.000 ,-0.126 ,0.001 ,-0.062 ,0.118 ,-0.526 ,0.000 ,0.287 ,0.000 ,-0.151 ,0.012 ,-0.264 ,0.000 ,-0.635 ,0.000 ,0.269 ,0.000 ,-0.285 ,0.000 ,-0.162 ,0.000 
Aug,-0.788 ,0.000 ,0.295 ,0.000 ,-0.330 ,0.000 ,-0.187 ,0.000 ,-0.454 ,0.000 ,0.358 ,0.000 ,-0.146 ,0.000 ,-0.195 ,0.000 ,-0.506 ,0.000 ,0.279 ,0.000 ,-0.251 ,0.000 ,-0.215 ,0.000 ,-0.621 ,0.000 ,0.325 ,0.000 ,-0.219 ,0.000 ,-0.194 ,0.000 
Sep,-0.701 ,0.000 ,0.229 ,0.000 ,-0.019 ,0.600 ,-0.401 ,0.000 ,-0.414 ,0.000 ,0.440 ,0.000 ,-0.067 ,0.091 ,-0.339 ,0.000 ,-0.557 ,0.000 ,0.203 ,0.001 ,-0.159 ,0.009 ,-0.356 ,0.000 ,-0.566 ,0.000 ,0.336 ,0.000 ,-0.057 ,0.021 ,-0.347 ,0.000 
GS,-0.792 ,0.000 ,0.201 ,0.000 ,-0.159 ,0.000 ,-0.383 ,0.000 ,-0.411 ,0.000 ,0.384 ,0.000 ,0.014 ,0.730 ,-0.228 ,0.000 ,-0.496 ,0.000 ,0.289 ,0.000 ,-0.065 ,0.283 ,-0.456 ,0.000 ,-0.612 ,0.000 ,0.302 ,0.000 ,-0.092 ,0.000 ,-0.315 ,0.000 
Yr,-0.742 ,0.000 ,0.122 ,0.001 ,-0.085 ,0.018 ,-0.363 ,0.000 ,-0.387 ,0.000 ,0.475 ,0.000 ,0.138 ,0.000 ,-0.288 ,0.000 ,-0.454 ,0.000 ,0.246 ,0.000 ,-0.009 ,0.886 ,-0.433 ,0.000 ,-0.534 ,0.000 ,0.313 ,0.000 ,-0.036 ,0.147 ,-0.335 ,0.000 
