,ETd_BJr,ETd_BJp,ALd_BJr,ALd_BJp,ETn_BJr,ETn_BJp,ALn_BJr,ALn_BJp,ETd_NJr,ETd_NJp,ALd_NJr,ALd_NJp,ETn_NJr,ETn_NJp,ALn_NJr,ALn_NJp,ETd_HXr,ETd_HXp,ALd_HXr,ALd_HXp,ETn_HXr,ETn_HXp,ALn_HXr,ALn_HXp,ETd_NWCr,ETd_NWCp,ALd_NWCr,ALd_NWCp,ETn_NWCr,ETn_NWCp,ALn_NWCr,ALn_NWCp
May,-0.450 ,0.000 ,-0.076 ,0.161 ,0.061 ,0.261 ,-0.242 ,0.000 ,-0.209 ,0.000 ,0.456 ,0.000 ,-0.034 ,0.566 ,-0.088 ,0.138 ,-0.522 ,0.000 ,0.257 ,0.000 ,0.098 ,0.139 ,-0.454 ,0.000 ,-0.410 ,0.000 ,0.226 ,0.000 ,0.060 ,0.079 ,-0.244 ,0.000 
Jun,-0.785 ,0.000 ,0.212 ,0.000 ,-0.041 ,0.452 ,-0.322 ,0.000 ,-0.225 ,0.000 ,0.319 ,0.000 ,0.088 ,0.135 ,-0.224 ,0.000 ,-0.437 ,0.000 ,0.271 ,0.000 ,-0.077 ,0.248 ,-0.367 ,0.000 ,-0.633 ,0.000 ,0.285 ,0.000 ,-0.014 ,0.678 ,-0.303 ,0.000 
Jul,-0.778 ,0.000 ,0.219 ,0.000 ,-0.460 ,0.000 ,-0.169 ,0.002 ,-0.387 ,0.000 ,0.256 ,0.000 ,-0.036 ,0.543 ,-0.115 ,0.051 ,-0.495 ,0.000 ,0.274 ,0.000 ,-0.205 ,0.002 ,-0.170 ,0.010 ,-0.677 ,0.000 ,0.254 ,0.000 ,-0.235 ,0.000 ,-0.124 ,0.000 
Aug,-0.799 ,0.000 ,0.296 ,0.000 ,-0.505 ,0.000 ,-0.204 ,0.000 ,-0.346 ,0.000 ,0.396 ,0.000 ,0.043 ,0.467 ,-0.141 ,0.017 ,-0.497 ,0.000 ,0.277 ,0.000 ,-0.102 ,0.124 ,-0.257 ,0.000 ,-0.661 ,0.000 ,0.340 ,0.000 ,-0.231 ,0.000 ,-0.197 ,0.000 
Sep,-0.729 ,0.000 ,0.078 ,0.148 ,-0.158 ,0.003 ,-0.339 ,0.000 ,-0.311 ,0.000 ,0.430 ,0.000 ,0.125 ,0.034 ,-0.319 ,0.000 ,-0.442 ,0.000 ,0.284 ,0.000 ,0.079 ,0.234 ,-0.330 ,0.000 ,-0.556 ,0.000 ,0.253 ,0.000 ,0.055 ,0.104 ,-0.327 ,0.000 
GS,-0.792 ,0.000 ,0.145 ,0.007 ,-0.223 ,0.000 ,-0.353 ,0.000 ,-0.317 ,0.000 ,0.386 ,0.000 ,0.123 ,0.037 ,-0.243 ,0.000 ,-0.511 ,0.000 ,0.283 ,0.000 ,-0.069 ,0.299 ,-0.402 ,0.000 ,-0.643 ,0.000 ,0.275 ,0.000 ,-0.046 ,0.177 ,-0.326 ,0.000 
Yr,-0.744 ,0.000 ,0.070 ,0.197 ,-0.129 ,0.016 ,-0.375 ,0.000 ,-0.261 ,0.000 ,0.424 ,0.000 ,0.171 ,0.004 ,-0.293 ,0.000 ,-0.457 ,0.000 ,0.222 ,0.001 ,-0.024 ,0.720 ,-0.415 ,0.000 ,-0.530 ,0.000 ,0.259 ,0.000 ,0.012 ,0.725 ,-0.358 ,0.000 
