,LST_Day_01_x,LST_Day_02_x,LST_Day_03_x,LST_Day_04_x,LST_Day_05_x,LST_Day_06_x,LST_Day_07_x,LST_Day_08_x,LST_Day_09_x,LST_Day_10_x,LST_Day_11_x,LST_Day_12_x,LST_Night_01_x,LST_Night_02_x,LST_Night_03_x,LST_Night_04_x,LST_Night_05_x,LST_Night_06_x,LST_Night_07_x,LST_Night_08_x,LST_Night_09_x,LST_Night_10_x,LST_Night_11_x,LST_Night_12_x,ET_03_x,ET_04_x,ET_05_x,ET_06_x,ET_07_x,ET_08_x,ET_09_x,ET_10_x,ET_11_x,Albedo_01_x,Albedo_02_x,Albedo_03_x,Albedo_04_x,Albedo_05_x,Albedo_06_x,Albedo_07_x,Albedo_08_x,Albedo_09_x,Albedo_10_x,Albedo_11_x,Albedo_12_x,ele_x,Id
0,-0.058757954867445505,0.1479036147061379,-2.7713973648681645,-3.09206432224272,-4.096738097114269,-6.523880432131648,-8.124127988992882,-7.001560390395014,-4.352602007238545,-2.2098072395590407,-1.1492132554587897,0.0909161750624321,0.32695768507909406,0.1769696892110062,-0.35131724955755317,-0.28110559476999697,-0.0661662950774371,-0.5906521377079912,-1.433415006282587,-0.8536137652029652,-0.7916846694729429,-0.5775736228653159,0.1792460937885494,0.48265682198385207,0.1434396522885617,0.0031818138875061575,0.1594646744928756,2.388618476629703,3.668028517481119,4.107512586543155,2.1505484267506,0.35371180952053205,-0.11291863597583696,0.0008133383984130216,0.0018283503231512066,-0.0035105132835966946,0.014265252609472895,0.026260163473920295,0.023387560614174102,0.024077688329601304,0.020135252849510787,0.01611996557880671,0.013438223867940191,0.017191044177854276,-0.013444373291649492,-0.1708259802185239,11347
2,-2.912140299570467,-4.492749072205584,-5.4561067134165455,-4.428885366257873,-5.9389231732992585,-9.936166056004708,-12.494033984625219,-11.528417330819309,-7.866755173308718,-4.4369058917214375,-3.097724847385507,-2.189007988491767,1.675774613131125,1.5820132895279357,0.8207596800452279,0.5181708493075803,0.3026749988912911,-0.5426502230642996,-1.5353667755861125,-1.659889786188728,-0.9612310279040344,0.5286789151580251,1.6400665938717793,2.03803508629278,0.06932320788649426,0.30614717198869734,1.124966006955801,3.5968855636641868,5.783221438132275,6.328282851123211,3.78255967976723,0.921229216706773,-0.01678101874070581,-0.10815033376603478,-0.04156458837516769,-0.044760449010275094,-0.0318644375376784,-0.020788007674944597,-0.015463147439101321,-0.01491383208379879,-0.02095691033386038,-0.027776249704220823,-0.037735866828282005,-0.046191070504899984,-0.1280142651011597,14.88207401123384,8237
5,-2.009023706014034,-3.393961181530699,-3.5101659916736025,-5.658131129784806,-8.737666637744042,-11.7952885684536,-12.635405362648783,-11.910287013291565,-8.812826511792196,-5.385840404975454,-3.176681231853536,-2.0824218013471523,0.08830491478863678,-0.5771927803830295,-0.8472756927703244,-1.1383429219329741,-1.3003170289034642,-1.962750657973288,-2.4150567362851234,-2.2815459866412198,-1.937341074589824,-0.8555269259918532,-0.030596885148611364,0.21132441230122367,-0.0016541539672284555,0.6138420351943535,2.0641676688447275,2.8882818390538954,2.1139166836826533,2.94167235898771,2.9508317028317155,1.0700735785396602,0.5420857011809581,-0.00903625348805559,-0.002669061339072021,-0.008550152633713393,-0.009268266176291312,-0.007802633147331484,-0.0029076534517606945,-0.0007975473434508884,-0.0032061149361847785,-0.005942074902675898,-0.010319974930467296,-0.007817847557683888,-0.008498295954019575,9.614794903076515,9497
9,-1.8844186257629758,-3.092916882063548,-3.7530812226332273,-5.086857502341218,-6.720184525529135,-9.040524217831035,-10.117971929391558,-9.872998406181694,-7.752935064078599,-4.975420268634593,-3.1764020574738083,-1.9525588905812583,-1.4557212034861777,-1.6038112757883027,-1.6473920569569032,-1.5127106656961473,-1.5482918945711504,-1.9618763214999717,-2.4506151683610824,-2.4307378991586006,-2.0948450019183156,-1.4507751239059985,-1.2438743769666303,-1.3899490639871601,-0.0275976353756624,0.044154624458183855,0.9535207753183648,3.5094478802414066,3.358052896214435,3.5826656672680484,2.6726559133686756,0.3715525563991702,-0.02170871186788581,-0.03625677431885521,-0.020011340398594507,-0.01451301574347899,-0.017922449085618797,-0.023626842339593807,-0.025159523940828904,-0.02364596327408508,-0.0252311973189204,-0.02782613088979971,-0.025743911843578604,-0.02079427661808031,-0.022176786892558364,4.078879319507905,5456
11,-4.065745459188804,-5.941187497807164,-6.017408915400381,-7.502412284896366,-8.927909865797403,-9.687254785789321,-11.440321009598108,-11.54552640438709,-9.643952204001096,-6.612620301714003,-4.882535052542096,-4.296901378406403,0.07243818639489064,-0.28419407101023353,-0.9850335221967157,-1.4657532006807514,-1.8543809601841872,-2.060943478928266,-2.3451236502074266,-2.382787271851157,-1.6574063164066501,-0.7173179167676267,-0.18533686729551846,0.561243446881349,0.016349287842129967,0.2073856374620472,0.4882114708688339,0.9178975213157734,0.9293750876064557,1.3187001578396131,1.4068164721963314,0.27365709808297956,0.13119153342510081,-0.02493802363659159,-0.027926731440271718,-0.028617332467215595,-0.02735419883310991,-0.029778838379454997,-0.030604880062451878,-0.038565604855566205,-0.044525163579141824,-0.0482327657970488,-0.04659382758272418,-0.037250542590031716,-0.03585167395538402,-9.274868491932693,1764
13,0.3598337652562691,0.028362640789509896,-2.4411636544585917,-2.6220730607658425,-3.853786824678423,-7.908371112408304,-11.323099150241319,-10.137206690650487,-5.708198202134042,-2.392694156713162,-0.6614911190116572,0.3068550125224192,0.20087959440843406,-0.3968557157025998,-0.1919651218869376,-0.0869443290823142,0.27592431530030126,-0.051453552310704254,-0.997411622503023,-1.0084005885462375,-0.5922336900507048,-0.12258222677593267,0.5708842016276776,0.5495705276452441,0.09591765605833036,-0.10078224740549735,-0.08518128183744134,4.15628578783361,8.440166485573155,11.768016844386064,5.4652875447905735,0.6071527099299439,-0.36494937500766333,0.02976466992507598,0.035186231191069006,0.019132934882342134,0.0301202530949142,0.04314991573186128,0.034994745798931304,0.03655225482488378,0.03209685154229058,0.0255353999676578,0.023248089596442284,0.017497704721558982,0.02139221867940755,-3.111966865905856,11442
17,-2.6502311433991963,-2.2634491465238398,-2.9562266984235634,-3.1035089299258516,-4.336824448536845,-6.168928237319278,-7.0503897995699845,-6.362945037106442,-4.534246179608374,-3.6353552844937553,-3.2301168687752124,-2.6277737632591425,-1.6371682350728634,-1.5948286985972686,-1.0047116473110123,-1.389271166765468,-1.703360466633626,-1.7845786403155444,-2.0127396688879458,-2.0263636389635735,-1.769854111677546,-1.1425773172173876,-1.1377739757410268,-1.434037295722618,0.07679544239112168,-0.050217569186915334,0.14993677221164203,0.026952159159672195,0.1054805496863942,0.418026576536366,0.25573194266009347,0.038398004348497494,0.0734153235787458,-0.005595103735626994,-0.002632599379847833,0.028696141114239015,0.045851973938457496,0.048276745157020406,0.04174524337566468,0.03886153817774049,0.041479514779578314,0.042855731095459704,0.04434423903037299,0.048652068097571055,-0.011768552922395925,-28.688411913115488,10503
19,-2.939653049904905,-5.345314008097091,-7.53284425649764,-8.593227689932519,-10.17758760259079,-11.872854482628611,-13.192539814454847,-11.789186470859647,-9.157116049898377,-5.853758614929575,-5.501456405709689,-3.261157900731291,0.323319459019217,-0.016744814871060498,-0.15989890599820455,-0.2820066341347456,-0.39705656832967406,-1.354323678787921,-1.677733049044548,-1.2667562198429891,-0.6696516765043725,-0.33121790674522344,1.5609907559576186,1.445762782760312,0.06581091111558113,0.06933291866502156,0.48188186258172294,1.2273130839127706,1.1965561853891566,0.829226345419495,0.31460427948694303,0.034987930795606026,-0.022990755804381813,0.01997306673234517,-0.0016116939267162844,-0.02861725582858249,-0.034551195970076,-0.032386548676242494,-0.031092592642779887,-0.029872519791069196,-0.03118813998365791,-0.032409939791930714,-0.02765806921102751,-0.040069061283234286,-0.00566305592637989,-20.96309366235141,5006
21,-4.971895537119337,-9.209830865551737,-10.107480639741539,-7.125036004332912,-7.371228874545011,-11.721032467703935,-15.781008733673218,-15.103446146088004,-11.068748607451994,-7.004702680330524,-5.361099614665818,-3.6231118165071052,3.215617157530829,2.0472733616620644,1.3219116575747307,0.29181550503943754,0.3003408695704479,0.23971674745206428,-0.5034453381228445,-0.7556943870273471,-0.3062758734394606,0.9652956011090623,1.7143118020564998,3.4030424388265033,0.03684659186376138,0.10862948149126112,0.29568780994258403,3.334589757798984,6.177122679267176,7.3099502700447605,5.146959767082885,1.168097663170692,0.13331108603574116,-0.2133342594016257,-0.18529860771740359,-0.0666617786072436,-0.04718631081722521,-0.0392035163859048,-0.0418023357381819,-0.05259188881058641,-0.054474056087048195,-0.04511754428875289,-0.054226275912617194,-0.05890253129150638,-0.08007636069022858,-2.1689467330670595,7002
23,-3.254478820164479,-4.8477340715573405,-5.528784958213862,-6.65534132796364,-8.31128103272357,-8.812644614466649,-10.17256340145667,-9.716623771093055,-8.069311405183896,-5.828103862944545,-4.467034868455471,-3.7403201208367705,0.6888226454083224,-0.058365429356570075,-0.5817380870510078,-0.9291513165074434,-1.1036260496006207,-1.5145843095682494,-1.8760283530908168,-1.6440528519468103,-0.9122001785221983,0.1181372872684392,0.6768952550128802,1.3070030703777888,0.03943736912860907,0.20170252229476016,1.021226492144276,0.9991625849248527,0.952042029139339,0.800382546251218,0.3099934409823648,0.1769428326702034,-0.07101669318533466,-0.0314108762701949,-0.03471229959833361,-0.033607472965736684,-0.03674273587085067,-0.04185126807065981,-0.0413428867433317,-0.044497122237115105,-0.047688056888207514,-0.0517403129856536,-0.05041956343023579,-0.04197621346832442,-0.0407026091897523,-2.13024449004115,1762
