20000101_pr,20000201_pr,20000301_pr,20000401_pr,20000501_pr,20000601_pr,20000701_pr,20000801_pr,20000901_pr,20001001_pr,20001101_pr,20001201_pr,20200101_pr,20200201_pr,20200301_pr,20200401_pr,20200501_pr,20200601_pr,20200701_pr,20200801_pr,20200901_pr,20201001_pr,20201101_pr,20201201_pr,Id,stable,uc
11.37650086,8.712121212,5.977129788,16.11578045,12.85191538,22.40337336,20.11349342,15.53459119,7.28158948,10.97541452,18.55088622,13.30531732,5.064894225,10.78987993,4.067181246,5.615208691,12.20411664,19.34762722,16.71812464,18.65208691,17.57089766,8.69782733,16.07747284,5.694682676,27324,19,41
7.546494993,5.666666667,4.751072961,14,11.34592275,25.13705293,26.33333333,14.07353362,8.666666667,11.41459227,5,8.333333333,3.769957082,3.040915594,5.315307582,5.618597997,12.60486409,12.93562232,10.06781116,11.87868383,9.68211731,3.128755365,5,3.646351931,25691,59,41
13.00085911,9.642898053,7.442439863,27.25114548,13.21391753,28.99599084,26,12.54295533,13.22164948,15.11941581,10.12714777,12.79610538,7.789232532,6.043241695,4.739404353,8.71792669,14.00572738,13.16609393,16.56872852,8.93327606,13.48167239,6.795532646,6.822451317,5.785509737,24452,6,44
6.666666667,4.333333333,4,10.90202799,10.33333333,24.8968866,27.06769494,13.66666667,7.666666667,11.2482148,4.555841188,8.666666667,3,2.666666667,6.03199086,5.563838903,9.77692088,16.13224793,13.29934304,11.75864039,11.60525564,2.597829192,4.016852328,4.467009426,26131,9,44
4.608011445,2.201716738,1,7.000286123,20.09556509,25.13762518,15.95479256,27.15364807,36.70500715,9.428612303,4.500143062,1.666666667,2.1018598,0.640343348,1.333333333,10.31158798,13.73533619,20.76366237,7.87639485,19.81459227,24.0732475,6.792560801,2.333333333,0.473533619,5701,23,44
10.33333333,7.333333333,6.106346484,21.13865066,12.09805603,28.21726701,26.28359062,13.47427101,12.36163522,12.13522013,7.120640366,10.83933676,6.666666667,3.666666667,4.439679817,7.760434534,15.96054889,10.52773013,14.27158376,12.37449971,12.57232704,5.518582047,5.297884505,4.951114923,24606,7,45
8.135273973,5.333333333,5.215753425,17.07676941,12.64269406,27.43835616,25.56934932,12.96061644,10,13.30251142,5.587899543,8.333333333,4.470605023,2.666666667,5.481449772,9.757990868,12.70291096,11.33219178,11.54023973,8.015981735,8.103310502,4.362442922,5.25456621,3.333333333,25225,14,46
4.15708502,0.333333333,2,4.126315789,5.826720648,13.46774629,10.01592443,7.483670715,12.23724696,2.333333333,2.346558704,6.009176788,1.655870445,0.333333333,1.611336032,4.223751687,12.00620783,10.0194332,11.55735493,5.398920378,6.724426451,0.333333333,1.173279352,2.247773279,13249,25,46
6.568526466,4.333333333,3.50472103,10.5453505,10.58426323,26.04062947,26.64148784,13.57739628,7.739914163,12.18340486,4.411158798,8.483547926,2.568526466,2.666666667,6.006294707,5.509298999,9.169670959,15.46666667,13.37081545,10.84749642,10.3055794,2.983404864,4.314449213,4.439198856,26129,18,48
3.653550043,0,0,0.333333333,3.860849729,2.666666667,12.01026518,2.666666667,2.042486456,1,0,3.916737953,1.183917879,2.923296265,0.333333333,2.352723125,2.793270602,14.08639863,2.335329341,1,2.467351012,0,0,1.05845452,3257,29,49
3.340080972,0,0,0.333333333,4.006207827,2.666666667,12.33333333,2.858569501,2.333333333,1,0,2.592442645,1.067746289,2.799730094,0.200539811,2.665047233,3.387854251,13.8194332,2.278272605,1,2.638596491,0,0,0.595681511,3470,14,50
11.24221651,5.754927164,6.536418166,17.92859183,16.01770923,22.01199657,22.82547843,19.17994859,9.076549557,19.89517281,15.51613825,14.7972008,4.95944016,7.101970865,6.544130249,6.968580406,11.82747786,17.32647815,19.1311054,11.93459012,12.99657241,14.2333619,10.09711511,7.190231362,27671,5,51
8.013710368,5.253927449,5.051413882,16.14738646,12.25792631,26.66152528,26.03941731,13.53898886,9.887175093,12.83204799,5.538131962,8.593259069,4.960582691,3,4.783204799,7.961153956,12.98086261,10.77349329,11.01199657,10.11368181,8.410168523,4.496143959,5.487860611,3.333333333,25228,21,51
13.87034036,7.863857374,6.429227445,14.20529444,15.64829822,20.32414911,20.53943814,19.66666667,7.142085359,13.28471097,20.93003782,20.97974068,6.163155051,9.393571043,4.537007023,4.415180983,12.25067531,21.93462993,13.80470016,25.59265262,19.9900054,9.826580227,15.634792,9.135062129,28079,42,52
2.333333333,0.117680663,0,1.383033419,5.144530134,6.706655241,19.49271637,6.500999714,5.680091402,1.770922594,1.06826621,1.807483576,0.333333333,0.43758926,0.383033419,4.112824907,8.783204799,4.606112539,8.256498143,3.151099686,5.940874036,1.646101114,0.267066552,0.666666667,14110,9,55
17.54020029,9.191702432,9.936194564,20.09613734,20.05636624,26.40314735,32.70300429,28.30729614,10.20200286,19.64663805,21.218598,22.23175966,8.570529328,9.836337625,7.508440629,8.020314735,13.74248927,26.88640916,32.52389127,35.22632332,25.10128755,12.21459227,17.2944206,9.385979971,28338,17,55
1.029983793,0.666396542,0.853862777,6.874932469,23.44462453,38.47541869,42.15505132,37.82522961,49.24932469,9.139384117,2.800378174,2.129659643,0.997839006,0.666666667,1.837115073,10.66666667,20.33414371,29.27714749,20.97028633,49.37331172,43.69746083,5.614262561,2.333333333,1,7551,31,55
4.60806175,2.333333333,1,6.987421384,19.89994282,25.39336764,15.75871927,27.15323042,36.84419668,9.409662664,4.269582619,1.666666667,1.900228702,0.666666667,1.378502001,9.740423099,13.54202401,22.26043453,7.758433391,19.27958834,23.52086907,6.359919954,2.333333333,0.526300743,5702,12,56
9.333333333,7.666666667,6.765721997,21.10850202,19.50040486,32.10931174,30.41025641,17.38002699,15.98677463,31.99919028,6.059919028,8.611336032,3.842375169,4.055330634,7.10148448,24.15006748,16.66477733,15.18731444,14.11147099,19.65775978,10.24426451,7.452361673,5.964912281,3.636707152,24724,15,57
12.64234621,6.956223176,7.136480687,15.57367668,15.17739628,21.26008584,19.68040057,18,7.735050072,16.90672389,20.6397711,18.78912732,6.020600858,9.441201717,5.443776824,4.995994278,11.12446352,17.29241774,14.19513591,19.35193133,15.14592275,11.83519313,14.4248927,8.603719599,27911,26,57
10.05317324,5.702115495,5.824757004,16.90708977,16.42052601,22,24.45168668,19.64008005,9.912807318,17.14465409,13.26958262,12.22098342,3.74757004,5.453973699,5.252144082,6.309605489,13.35277301,13.22927387,21.0946255,8.92481418,13.25414523,13.17724414,7.878216123,5.259291023,27297,38,60
13.87034036,8,6.396002161,14.11615343,15.74014046,19.95083739,21.21339816,19.66666667,7.471636953,14.13452188,20.88330632,21.38249595,6.20367369,9.339005943,4.585899514,4.32171799,12.23770935,22.53808752,14.11075095,24.68530524,20.58887088,10.29335494,15.37493247,9.518098325,28078,34,63
11.15681234,8.798057698,5.283633248,15.80805484,12.33333333,22,19.90288489,15,7.013139103,10.33733219,18.13967438,13.06769494,5.261639532,10.66666667,3.574407312,5.449585833,11.6503856,17.73236218,16.48500428,18.1171094,16.01113967,7.961153956,15.64010283,6.297914881,27231,32,66
10.39771102,7.416309013,5.406294707,15.73648069,17.97224607,24.2620887,29.59713877,18.19456366,10.55793991,18.74105866,10.98712446,13.73133047,3.301001431,7.345636624,8.480972818,5.811158798,19.47439199,20.39170243,15.33390558,10.74134478,18.66437768,8.371959943,8.586266094,4.817167382,27003,13,72
6.758069123,5.666666667,4.622393602,13.63210511,11.07883462,25.09940017,26.26163953,13.88888889,8.676949443,11.51956584,5,8.166238218,3.232790631,3.180234219,5.61153956,5.680662668,11.7963439,13.75692659,10.06740931,11.54384462,10.78920308,3,4.959154527,3.803770351,25825,12,82
7.205831904,5.666666667,4.451114923,14,11.66666667,25.08147513,26.2481418,13.20783305,8.853630646,11.36392224,5,8.302744425,3.555174385,3,4.960834763,6.081761006,12.41194969,12.90708977,10.31646655,10.64351058,9.983133219,3.215837621,5,3.666666667,25690,12,88
11.82989691,7.409793814,5.990549828,15.94873998,16.46706758,23.2583047,28,17.11512027,10.33333333,18.33963345,11.78092784,13.69072165,4.156643757,7.197880871,9.071019473,5.22021764,17.36597938,20.97193585,11.39261168,11.21477663,18.94530355,8.300400916,9.88860252,4.882875143,26909,5,92
10.48612303,6.945922747,5.221745351,15.74506438,16.89670959,23.88268956,28.56967096,17.36051502,10.33333333,17.66351931,10.98741059,13.10615165,3.565665236,6.666094421,8.559942775,5.395708155,17.81688126,22.13590844,13.0111588,11.36709585,19.93075823,7.172246066,9.401144492,4.619456366,26908,5,93
9.651839179,8,6.79669233,21.00570288,19.28457371,29.70459082,28.66666667,15.45081266,14.86170516,31.88565726,5.694895922,8,3.892785857,3.353008269,8.74964357,21.24522384,13.40918164,11.9572284,12.04448246,16.76047904,9.49358426,6.405759909,6.123467351,3.333333333,25040,5,5
5,0.666666667,0.666666667,3.009711511,6.871179663,9.333333333,24.06798058,8.609540131,6.232504999,3,1.294201657,1.980291345,0.960868323,0.676949443,1.880891174,7.114538703,11.64752928,8.232504999,10.29877178,11.75606969,7,3.619251642,0.333333333,0.470722651,16396,6,5
5.666666667,1.763413242,1.537100457,11.83219178,16.00884703,29.40582192,46.08533105,21.27996575,16.96318493,10.88242009,3.426084475,5.618721461,2.901826484,2.842465753,3.631563927,17.17808219,18.32305936,28.11586758,25.93065068,24.71261416,13.03652968,10.49372146,3.950913242,1.616438356,19066,6,5
5.951377634,1.277957861,1.378444084,9.561588331,12.61075095,21.68476499,36.33387358,15.79632631,13.04294976,7.723122636,2.796056186,5.333333333,1.803079417,1.666666667,2.816855754,14.19097785,21.00135062,19.63236089,18.9365208,21.43625068,8.980821178,8.759859535,2.352242031,0.666666667,18210,7,5
4.344196684,1.97941681,2.387935963,14.55288736,17.37878788,38.96397942,53.79216695,27.95254431,19.27186964,12.01000572,3.095769011,5.233276158,3.112635792,2.569468268,3.519153802,20.12006861,19.0294454,40.99628359,25.82104059,36.5651801,17.58547742,9.727272727,4.449399657,0.858204688,19851,7,5
