20000101_pr,20000201_pr,20000301_pr,20000401_pr,20000501_pr,20000601_pr,20000701_pr,20000801_pr,20000901_pr,20001001_pr,20001101_pr,20001201_pr,20200101_pr,20200201_pr,20200301_pr,20200401_pr,20200501_pr,20200601_pr,20200701_pr,20200801_pr,20200901_pr,20201001_pr,20201101_pr,20201201_pr,Id,gc,stable
3.303004292,1.255221745,0.694706724,6.059227468,16.1925608,30.84263233,32.37195994,24.89270386,35.72875536,8.480114449,1.778826896,3.664377682,1.363948498,0.839198856,1.045493562,9.004577969,19.49127325,24.10300429,13.74678112,35.90214592,34.62145923,4.376251788,1.595708155,1.465236052,9605,5,11
2.666666667,0,0,0.811034877,4.651515152,6.728416238,17.94739851,5.159519726,4.149799886,1.112349914,0.318467696,1.114636935,0.568610635,0.333333333,0.825900515,3.115208691,7.112635792,5.395082905,7.144654088,5.803316181,5.613493425,1.028587764,0.159233848,0.159233848,13770,5,11
1.666666667,0.666666667,0.666666667,3.911168238,5.823479006,20.77834904,31.26706655,12.8426164,6.938588975,1.451299629,0.490145673,1.658954584,0.333333333,0.666666667,0.532419309,2.764924307,23.26649529,17.46672379,18.09911454,18.47043702,6.330477007,1.585546987,0.333333333,0,16735,5,13
2,0,0,1,5.250135062,3.333333333,18,1.980821178,2,1.333333333,0,0,0.666666667,2.5,0.638843868,2.750135062,11.00756348,8.395461912,4.40734738,1.166126418,0.666666667,0,0,0,2657,5,13
3.392125135,3.072815534,1.851941748,10.79935275,29.26968716,38.66882416,25.71089536,40.36623517,51.83980583,14.15102481,6.037216828,0.142125135,1.739482201,1.207928803,2.802858684,16.13592233,24.76914779,28.13403452,21.39805825,33.72006472,38.31229773,11.43122977,3.46197411,0.457389428,4514,5,13
1.927101201,0.666666667,1.181532304,2.063750715,7.340766152,9.668381933,0,0,0,0.636649514,0,1.38707833,3.145797599,2.333333333,2.975128645,3.778444826,18.39651229,9.325900515,4.005145798,5.376786735,1.251286449,1.325614637,0,0.686678102,3214,5,14
16.28636977,8.728475034,7.361673414,18.54251012,17.20674764,23.22159244,26.09095816,24.17408907,8.685020243,17.01592443,23.46612686,24.63994602,6.865587045,8.360863698,5.556545209,7.296356275,15.66990553,26.43832659,24.97112011,35.53792173,25.6,10.64561404,20.04993252,8.870985155,28294,5,15
1.333333333,0,0,2,1.666666667,13.16020463,4.749326871,2.567851373,0,0.003769521,0,0,0.666666667,1.828756058,1.333333333,0.366720517,3.851911686,6.984383414,6.91814755,2.895261174,0.16908993,0.007539041,0,0,6351,5,15
8.823495865,6.568006843,6.925577417,29.46820644,6.839749073,24.31907613,20.18106644,8.102651839,10.76276019,13.91074993,10.76703735,7.565440547,3.314228685,3.598517251,3.862275449,8.761334474,10.82064443,12.65297975,16.45993727,10.35471913,15.87197035,8.567151411,8.48502994,3.646991731,23973,5,16
7.745350501,6.128755365,6.230042918,18.80429185,12.78426323,30.79084406,27.65207439,14.83032904,12.3527897,11.53705293,5.389127325,8.333333333,5.221745351,3.211731044,5.635765379,10.44549356,13.2944206,11.59971388,14.44778255,11.36680973,7.805436338,5.666666667,6.177682403,3.391988555,24268,5,16
14.81391586,8.53236246,10.07551241,22.25997843,27.80960086,33.97411003,32.93878101,14.79638619,11.5293959,32.94012945,16.09546926,17.54449838,9.569579288,9.871089536,14.3969795,15.12891046,22.48139159,28.04234088,18.17556634,20.78451996,18.21197411,11.8907767,9.24433657,8.809600863,27061,5,16
3.666666667,1.675235647,1.333333333,10.15652671,31.21451014,47.25249929,41.33904599,42.4064553,59.28906027,10.59982862,4.666666667,3.809197372,2.333333333,1.083976007,2.762924879,16.01599543,24.85232791,35.77149386,20.30791203,54.65524136,56.32219366,7.628106255,2.99143102,1.333333333,6968,5,17
