system:index,Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_01,ET_02,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,ET_12,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,forest,.geo
00000000000000000018,0.7229077050391239,0.7244911304575476,0.46485794249507695,0.12783674743173215,0.13403730717077308,0.1645532846124523,0.16856879619140966,0.1646919445211734,0.1751776713120564,0.1768745973048558,0.3896502633672526,0.6800682800108666,5.7250000000000005,6.4058089924515915,7.1980223914244785,8.105418115346744,12.400408478533825,25.490532706076596,26.73584483172659,13.519370834365901,6.424391265560734,5.51888961871829,5.728293195871436,5.874478360561767,5686,263.0194445988018,267.51130065633913,284.29176734768936,302.0278800743083,303.5224700959674,300.41190677148103,300.0931506152726,301.52713734698153,298.8372052801127,291.24207285302015,277.6403222284153,265.2649959992674,251.98745031900992,254.7960981208499,266.53060152630843,273.5718813902377,277.35424820439414,280.9888205967248,283.0789376849259,281.9765357537841,277.12912314125754,270.6515135124915,262.4308712717007,254.28130419633158,44,1872.7327792108526,20,"{""type"":""Polygon"",""coordinates"":[[[81.04552168696308,43.13888200276559],[81.09044154523298,43.13888198066471],[81.13536139942573,43.13888195770383],[81.18028129506142,43.13888194601304],[81.22520110905904,43.13888194462012],[81.22520110905904,43.318561419690184],[81.18028129506142,43.31856146793873],[81.13536139942573,43.318561454527625],[81.09044154523299,43.31856145358129],[81.04552168696308,43.31856145296871],[81.04552168696308,43.13888200276559]]]}"
00000000000000000019,0.5999483581858834,0.5608125127792967,0.25601639167981977,0.16969486069677117,0.17325116407587918,0.16387473172617656,0.16986107874936465,0.1677331302896259,0.16743514776317694,0.1706565079846633,0.21006236170879936,0.5042626945803576,5.191799394245331,5.411019203138177,4.709629043690116,4.887922578580372,7.066064224904166,19.145943964004783,30.554945140058724,27.763373394799874,10.406584489315833,3.82207021340977,4.873787588777723,5.269370722833907,5779,265.7154487078787,271.59576072911926,288.6965483039753,301.0277705884083,305.22172407902644,305.02073408770843,303.7532762530414,301.71099027078384,298.4096642514548,291.52987970130516,281.18386797671633,268.5405048789694,254.9543161699901,260.35401873798526,272.1813429398846,278.8862585062581,283.339534301026,287.3465734774785,288.65329974833367,286.65318153742703,281.3011921093629,274.5670917720118,268.88656463740546,258.8482015383775,115,795.7416390179167,20,"{""type"":""Polygon"",""coordinates"":[[[82.12360302695353,43.318561476894146],[82.1685228512746,43.31856142746804],[82.21344272675361,43.31856142955128],[82.2583626054625,43.31856148734032],[82.3032824391526,43.318561458495225],[82.3032824391526,43.49824091061185],[82.2583626054625,43.498240916222436],[82.21344272675361,43.49824091022628],[82.1685228512746,43.498240961427676],[82.12360302695353,43.498240919651316],[82.12360302695353,43.318561476894146]]]}"
00000000000000000011,0.27168047245595095,0.2582628327714883,0.23972465924746386,0.23264840321345343,0.22903844820030195,0.21563857212954576,0.2083958174486984,0.20497297109691767,0.20741223193688246,0.21788882696082076,0.22489459911047854,0.2471659090225106,5.895968659142791,5.328258369941913,3.334376947069105,2.222155219898685,3.1081627313359363,6.830401332947166,8.397267204957009,7.457340828630657,4.825080049136163,3.9777463503464747,5.183726494824369,5.683810284744009,1670,277.8878615080013,287.0652632035248,297.2507498274103,305.7609580472118,309.60567613023005,312.54674559855914,313.7924235131144,311.39888256663477,305.6908196009113,297.6697229964666,287.42797313514404,278.3520238304021,256.05602736207095,260.9375555704064,268.2787983343235,274.75791350958605,280.42212087662426,285.9882992737349,288.74040918330326,286.94715385430686,280.50746857157105,272.28723190944305,264.65111510272925,257.98416874956445,26,1440.5556561085973,21,"{""type"":""Polygon"",""coordinates"":[[[102.60712131631414,38.28752271609299],[102.6520412276256,38.28752274449724],[102.69696104880846,38.287522761918844],[102.74188094088363,38.28752273822681],[102.78680080218007,38.287522751129224],[102.78680080218007,38.46720223345397],[102.74188094088363,38.467202189247644],[102.69696104880846,38.46720218388499],[102.6520412276256,38.46720221883026],[102.60712131631414,38.46720216633508],[102.60712131631414,38.28752271609299]]]}"
0000000000000000001d,0.683982296279048,0.6935333109913946,0.4675025377325752,0.18852151313577192,0.19595663575856043,0.18853627722617222,0.1947177512254388,0.20032042581195822,0.20004369073266803,0.20800550260509296,0.4034408744103293,0.643804911245457,,,4.409330549811514,3.9075430185436613,4.9394513893171865,12.328342018630607,10.6964625363438,5.8170695708091555,3.2075261279127862,3.384132383786686,4.248548328613322,,5995,259.9643597668702,265.74907220569435,281.49521368935586,301.8732912274553,305.2953569878948,307.46572342830643,308.73953078454934,308.9964412075962,303.0504093789002,291.0060760082401,274.3620434852416,261.5244159105962,250.16631934698327,253.4961496940294,266.9424824352197,275.3894451700583,280.36064625080735,286.43125848649794,287.9010410328072,285.66039294246553,279.13699976860795,271.70732391328374,263.61151637962877,252.94503117856556,38,1141.5253317945758,22,"{""type"":""Polygon"",""coordinates"":[[[90.02952226127728,43.677920393135736],[90.07444212465658,43.67792037628273],[90.11936197940136,43.67792040110238],[90.16428187157592,43.677920394288265],[90.20920177725569,43.67792042886711],[90.20920177725569,43.857599860118064],[90.16428187157592,43.85759989528907],[90.11936197940136,43.857599902352135],[90.07444212465658,43.857599881440194],[90.02952226127728,43.857599905590995],[90.02952226127728,43.677920393135736]]]}"
0000000000000000001f,0.7196272013961331,0.688407243388136,0.44617631998899904,0.17004529294450374,0.1725602048357927,0.172635878406142,0.1760346813090132,0.17772331446888365,0.18584013086373885,0.19106205462755876,0.34536197657678835,0.671369555557063,,6.2224025974025965,5.773400105703597,5.908450060330412,9.372001800148716,19.952155577786197,23.13115798144907,14.801663108952805,6.009846354388292,4.071317674725029,5.3258719247809525,5.386982316074579,6201,265.02507108435714,270.1402348640322,285.7705488909954,300.9261683818308,305.0666979742478,305.85126325860745,306.13935302418037,307.05634169244456,302.4771760142204,292.8958007366024,278.83634800644865,266.9416344399391,256.0388316522405,260.0477621891381,270.61274637289984,277.714010727881,282.52949880893925,287.2384464846846,289.053566233334,287.16594543874305,281.3706092698325,274.6007798224578,267.66224416351554,258.949221486797,24,987.9571098647311,22,"{""type"":""Polygon"",""coordinates"":[[[81.04552168696308,44.216963282422036],[81.09044154523298,44.21696329979053],[81.13536139942573,44.21696332047145],[81.18028129506142,44.216963284781194],[81.22520110905904,44.216963263523716],[81.22520110905904,44.39664274063095],[81.18028129506142,44.396642801672236],[81.13536139942573,44.396642805591846],[81.09044154523298,44.39664275340706],[81.04552168696308,44.39664277605757],[81.04552168696308,44.216963282422036]]]}"
00000000000000000020,0.6188705310917448,0.6372677575438775,0.3927063399407123,0.21588849240865793,0.20329935666092872,0.1955596228941748,0.19028648968462214,0.19027512546872066,0.19875504361982643,0.21266597927313022,0.2775537916333224,0.5559815176445678,,3.338415185296776,4.4822769641762985,2.9537979882362837,2.3857532870275597,5.014743373850112,10.420020185388905,8.825940876554503,3.8149587360677586,4.226388349957407,5.38875050896184,5.591916884247171,7186,256.34073828269027,262.1232252728367,282.2451893703634,299.1629956178597,305.7843223577882,310.14782168577915,308.1344580036977,305.6066690840191,298.33706634141754,286.8090644983423,274.4671075249805,260.03774350860306,247.29631708584958,251.06779268965573,265.1576784813833,274.84652880093125,281.33479608447345,288.11973782369637,289.55258991281727,286.7232166222491,279.380526799137,271.1104734353144,262.69863464063513,252.02921815855476,34,514.6048281861679,22,"{""type"":""Polygon"",""coordinates"":[[[87.514000703316,47.27152335338378],[87.55892058561989,47.271523343830324],[87.6038404448083,47.27152329901636],[87.64876025224184,47.27152329303826],[87.69368014759868,47.2715233288168],[87.69368016553256,47.45120278702862],[87.64876031786262,47.45120279166146],[87.60384042208138,47.451202830628425],[87.55892050533726,47.45120282953877],[87.51400067022252,47.45120279052573],[87.514000703316,47.27152335338378]]]}"
0000000000000000000c,0.2469303266997528,0.22805400659764824,0.21998997839600662,0.20771203052010467,0.20369189136290117,0.19940988888921288,0.19290316986927222,0.1870954927040634,0.18699278606390965,0.1862889181254128,0.21294625493723088,0.2244391023871746,6.597466044264398,7.594135641491407,7.682710530690885,7.191770808779631,7.221165590365205,9.853926122739807,14.769657145886356,12.408181834297931,8.958501492212585,7.376258131963714,6.849385242888662,6.054482704512269,1535,277.5881814714183,284.1240262599816,292.1926659182024,299.68697696939205,304.85046077679715,304.78330078453115,303.7593018228778,300.76754716161673,296.71572504928093,290.78551698225596,282.5798954637712,277.56676956701693,254.0321678062008,256.70664209126977,262.4178011386485,267.9743986912711,272.3464491616932,278.06838764095454,281.50544038173,279.8559078066918,274.0893064238666,267.9105994702416,261.9052115372402,256.1048506207114,125,2491.7440431868954,23,"{""type"":""Polygon"",""coordinates"":[[[101.34936051232864,38.10784325246513],[101.39428038152539,38.10784321505478],[101.43920030842933,38.107843240628604],[101.484120185304,38.10784324897674],[101.52903999121844,38.10784323105126],[101.52903999121844,38.28752272396123],[101.484120185304,38.287522683262445],[101.43920030842933,38.28752269948274],[101.39428038152539,38.287522702288335],[101.34936051232864,38.28752269225071],[101.34936051232864,38.10784325246513]]]}"
0000000000000000001b,0.5743680890744849,0.5792478542066165,0.3807140777021579,0.1585868230244477,0.16347224019976503,0.16409663890723267,0.16488047492704988,0.1697964920965005,0.1694517549956738,0.1755700151206674,0.33134816419702534,0.5384860495428099,5.4200527837547074,4.473729613561502,4.654766583268411,4.075609778644322,6.454339941719818,14.810797976971982,14.823446470142274,6.899666252714007,3.682059432035341,3.4649768749903473,4.547552883878629,5.371632594630364,5989,261.76634789926555,267.23789157030984,282.0039857590077,298.9090520877785,303.5504656087643,304.11976775398267,304.30965411100453,304.2956053197657,299.2430726555105,288.73135059301154,273.90691890605274,262.84179139507336,253.14502002013427,256.1953120807049,267.27115955211235,274.5728060387696,279.12979146717925,284.90831832377575,286.6541077312319,284.56498362735573,278.27194712391764,271.29539928199836,264.1262919928968,255.39952340220253,119,1458.681447471757,24,"{""type"":""Polygon"",""coordinates"":[[[88.951440988667,43.677920389037055],[88.99636082339127,43.67792040697099],[89.04128072503141,43.67792038355682],[89.08620054662141,43.67792039161677],[89.13112043160604,43.67792043320877],[89.13112043160604,43.85759988822954],[89.08620054662141,43.85759985546927],[89.04128072503141,43.857599859632515],[88.99636082339127,43.857599898661114],[88.951440988667,43.85759990000189],[88.951440988667,43.677920389037055]]]}"
00000000000000000014,0.25808929337762904,0.2122648355440231,0.16594232990217825,0.18094959730529264,0.1920657598283064,0.17295692851410666,0.17349879893618353,0.17139843743899422,0.1695738133883263,0.18305928355721668,0.1861074461424324,0.19347315235488038,5.675781841696917,3.7944306759119826,0.7849087564168515,0.6522198668210566,1.1563910870410945,7.013437126185402,11.26053716257748,10.533257141111637,6.607659523068132,2.1007734008695778,3.26748510390528,5.5553069702770985,3473,275.4378864576117,281.1765597088659,290.6583948268938,302.01639785328007,307.3316364838062,305.3912462716388,303.48605422991983,301.91581131053687,299.2601003240925,294.191259567973,283.98418790670354,275.69891265499126,258.7496953409135,265.0726415194335,273.70036845783244,279.84465745370784,285.0260446210481,288.8012172665819,289.5203817774019,288.1516314907072,283.2289686784024,275.2793006644028,269.139467910474,262.3779900443159,50,1028.3268060539865,25,"{""type"":""Polygon"",""coordinates"":[[[80.68616272212861,40.2640014290451],[80.73108261490903,40.26400143918377],[80.7760024621236,40.26400140755865],[80.82092231256799,40.264001424358014],[80.86584221456292,40.26400142499108],[80.86584221456292,40.443680881292934],[80.82092231256799,40.44368087193818],[80.7760024621236,40.44368092738218],[80.73108261490903,40.44368088074585],[80.68616272212861,40.443680873291406],[80.68616272212861,40.2640014290451]]]}"
00000000000000000016,0.6880441112971029,0.7058678792311127,0.5125857110314131,0.15472262929400418,0.15214415048252128,0.17238610576965932,0.17535528519079802,0.16698520744636106,0.1779573883052411,0.19555942234503945,0.358279387340868,0.6362862132893465,,6.35179889298893,9.014485328815281,10.130436345992985,12.085088210786996,22.42093559206183,27.46120757441088,15.618192035176367,7.582816655044211,6.631543068527201,6.4027201003203515,6.1879773413619095,5388,259.869365250116,265.0575503322252,281.60426239760926,301.72750801425616,304.44988694162674,300.9117934687726,299.06838903097207,300.7243850757949,298.21931644579826,290.6334800436476,275.96681513732244,262.42836691683254,249.01375125754225,251.95957057659956,265.1510857554957,273.4851039196735,277.6128842856706,280.92591390138386,282.52821716205506,280.890644458963,275.9614406388932,269.55824940584733,261.56577825288656,252.2423146012673,110,1791.8321454148618,25,"{""type"":""Polygon"",""coordinates"":[[[80.68616272212861,42.59983908139181],[80.73108261490903,42.59983912193549],[80.7760024621236,42.59983908303703],[80.82092231256799,42.59983912590048],[80.86584221456292,42.59983911506273],[80.86584221456292,42.77952304691992],[80.82092231256799,42.77952300242496],[80.7760024621236,42.77952305374838],[80.73108261490903,42.77952304034551],[80.68616272212861,42.77952302313274],[80.68616272212861,42.59983908139181]]]}"
