,LST_Day_01_x,LST_Day_02_x,LST_Day_03_x,LST_Day_04_x,LST_Day_05_x,LST_Day_06_x,LST_Day_07_x,LST_Day_08_x,LST_Day_09_x,LST_Day_10_x,LST_Day_11_x,LST_Day_12_x,LST_Night_01_x,LST_Night_02_x,LST_Night_03_x,LST_Night_04_x,LST_Night_05_x,LST_Night_06_x,LST_Night_07_x,LST_Night_08_x,LST_Night_09_x,LST_Night_10_x,LST_Night_11_x,LST_Night_12_x,ET_03_x,ET_04_x,ET_05_x,ET_06_x,ET_07_x,ET_08_x,ET_09_x,ET_10_x,ET_11_x,Albedo_01_x,Albedo_02_x,Albedo_03_x,Albedo_04_x,Albedo_05_x,Albedo_06_x,Albedo_07_x,Albedo_08_x,Albedo_09_x,Albedo_10_x,Albedo_11_x,Albedo_12_x,ele_x,Id
0,-4.096220897269291,-6.41276748860912,-6.635569247362241,-8.229987974478775,-9.724897035254969,-10.680799784437625,-12.600801211959606,-12.216706814015083,-10.396061770663096,-7.399896273558284,-5.368298039878482,-4.383370429277022,1.064474165088086,0.22076138902230014,-0.5721163191818164,-1.0448617366189978,-1.548645074267256,-1.7912760798656677,-2.2203001849668453,-2.042374084151902,-1.0284091845970238,0.30615345411115413,0.9212592407320699,1.7234566315630673,0.008765765237823464,-0.04378098847918066,0.3368731904646216,0.767254138671607,0.7899416128991881,0.7614464439031847,0.7401344096103202,0.4828677980673599,-0.06695347535357055,-0.034944279030139136,-0.03773755302335341,-0.03770815229299557,-0.04009461245703719,-0.04429047391179028,-0.046456076960412984,-0.05252712261106951,-0.059296996056871,-0.0622193047360885,-0.06036983325189568,-0.047978539504003825,-0.044360548983992776,-1.7827635905248371,995
1,-0.08458745970534665,-0.5360262540100393,-0.7570010357106298,-1.1441388262974215,-2.9899221636039215,-5.187023990381363,-5.581837675387362,-4.427792314072235,-2.6715456312651895,-1.130824065704303,-0.8225659845017503,-0.5819831838452956,0.10168992759622597,-0.09174188888437129,-0.30952449007344285,-0.09010271206858533,0.13325782569643252,0.20301470003727218,-0.43660765595251405,-0.4654520453104283,-0.3438095540567474,-0.2914086287873374,0.22399675430222032,0.5040057044322452,0.3318724186591293,0.4697272339422591,1.5806792939061407,5.009723139584745,6.765896493838833,4.505915749352687,1.1903631901361358,0.3552406762648026,0.07753513394269973,-0.007255252216514629,-0.0028160039057294195,-0.0056399694208476014,-0.006684370914168597,-0.008758036488001497,-0.012192239426055101,-0.011421481418813495,-0.013417255910357695,-0.012495641486284292,-0.010658719045467807,-0.012289213122296389,-0.005870947803025106,38.17583815190574,1540
3,0.38437335132752537,-0.1280423783177298,-3.353425243928598,-3.6890468438476205,-5.92762177485173,-10.581340571886585,-14.72065138995572,-13.405255012166833,-7.74577360048329,-3.698088639356513,-0.9447076329023503,0.0009820858475109162,-0.29684596122419293,-0.5626877132575316,-1.0126233437496808,-0.5170717742149122,0.21165197464773655,-0.6990311432141993,-2.0330822278804135,-2.052782087126957,-1.300256972937234,-0.7352952094013858,0.028532602321433842,0.12899053689343987,0.2976402574663335,0.15870174807691284,0.38177023204764116,6.184052073638233,11.909237232057652,14.352054322245943,7.129211687845327,0.5252158490085659,-0.22435390016327972,0.0036994242606324113,0.0023337383889477925,0.003364241759226172,0.0036998831967736123,0.017106957164946396,0.014738531533883298,0.018129571824385987,0.011807934875683296,0.0040924600297451985,0.0018657059737358928,-0.012071046575856503,0.007788418746309089,-0.5873831922628483,6629
4,-0.06009034196762286,-0.18973720503311142,-1.069822475859553,-1.9238868417538129,-3.3898932631977914,-7.617843242163076,-11.51729944438631,-9.77443274884996,-5.230659450767746,-3.1594210472026134,-1.7122096649156333,-0.0030776080915870807,-1.0310747905888036,-1.1405530741690484,-1.9683720372273683,-2.538371678949318,-2.3360078459015767,-2.710297579239807,-3.3389218016189943,-3.364825795488116,-2.669919131352799,-2.0014921742018146,-1.4657488825467908,-1.4235372229857148,0.08692816180100671,-0.017485010116433664,0.30219213318619054,3.9998532567027922,9.258269365471998,8.504312851753207,3.2259647035965275,0.11710593329017804,-0.13856052620181813,-0.034154119953809126,-0.036690651113061024,-0.05088034941853442,-0.01193029630100409,-0.0076762983690296105,-0.00942479953259509,-0.008647611209078698,-0.009884047545087399,-0.00836668203301541,-0.007566908491040886,-0.021181859792152813,-0.03448343481134153,10.357429982360088,6928
5,-2.3028062846365174,-3.5199324893404764,-4.324960864498621,-4.667891946749705,-6.671508398645244,-9.305534751875996,-9.89370621365407,-7.806530521500406,-5.737816865357843,-3.800133268513207,-3.5190317016414383,-2.5536465155524866,-0.9461791279067029,-1.036113130358899,-1.44042459425674,-1.6106965157952118,-1.4811783923842086,-1.8234936629447702,-2.312742006496876,-2.0911246321106205,-1.9802417011160856,-1.7859257295655198,-0.8443703606207578,-0.6072229617283256,-0.019067480496546274,0.01214428747579177,1.1339783156489922,4.878481219621475,6.682834441746984,3.925333412822278,1.056815714785797,0.08164992060491372,0.002858726981324722,-0.007784608812016092,-0.012889237201247183,-0.0181058704104273,-0.019093573583247897,-0.024397298482448815,-0.0337727497442222,-0.035192358504254506,-0.03581745092250002,-0.038527802659838295,-0.033914868176675994,-0.030708442697086613,-0.026002210049628688,20.592456281087152,1187
7,-2.326680604328601,-4.612233412130081,-6.435376292537114,-7.305870945564607,-9.051289689758846,-11.1274755062679,-12.262626045009199,-11.052807381187051,-8.354359736998902,-5.043227233883101,-4.999672969234382,-2.7015627581769763,-0.5551288758350097,-0.8608313452167522,-0.9359556308701258,-0.7874795518346218,-0.8589832900636907,-1.5448321850856814,-1.947460258668798,-1.661099168827377,-1.3184588152591346,-0.9256605624153167,0.7693638636644664,0.4116597029781133,0.03392454193142935,0.05319496403757373,0.8105319885511557,2.710557272153882,3.6119777202939387,2.95933375726222,1.136792839344587,0.05119275608078677,-0.09113218597928485,-0.003224856718441693,-0.017703879629891894,-0.04235853178662313,-0.051983653509222405,-0.054253213942833084,-0.05550768945563328,-0.0545340218980985,-0.05554675424169889,-0.05567797483278358,-0.05134178341440171,-0.05969343326962648,-0.026667570831169662,-30.000709125465164,2845
9,-3.7413682365890963,-6.070731187408626,-6.964680110028382,-5.954967381584993,-7.540714551785186,-11.575274349099118,-14.66141031555594,-14.21531946361273,-10.556204307710857,-6.855924826733542,-5.5408286129978706,-4.111134025155081,-1.3473667510705525,-1.6999093525142825,-2.3254137823793712,-2.4461665504342136,-2.3866145019127885,-2.8558119458510873,-3.914774741970689,-4.037921891760732,-3.6182509060649295,-2.8082508542580626,-1.1037036934499724,-0.5569640009936734,0.11011493405416783,-0.007732520990448966,0.349023164962768,3.1189039848169497,4.366481089469447,5.074194789368687,4.711566597109462,1.2973316880115733,-0.20383579629628157,-0.010266301557697921,-0.04239443048872188,-0.04752712153636779,-0.043000731787633,-0.0348872730877417,-0.039307955969739905,-0.035786497185911204,-0.04117300818855871,-0.0441504353419116,-0.03968299607947051,-0.04063358486688118,-0.021820065047069293,-14.114223889640243,3852
12,-4.191750647231515,-6.588161388317701,-7.5774741190721215,-8.154800920234607,-9.534188061103578,-12.357344878493848,-15.497443610913024,-15.088812433765042,-12.092204808576184,-7.672624101055646,-5.500917206927738,-4.0871591774723015,0.7922923894054748,-0.22279054615620453,-1.0041370302224664,-1.340636325800915,-1.5347334139455029,-1.731220222594004,-2.6819071366073217,-2.532970147581409,-1.871829693766415,-0.5581520848917307,0.27737464264805567,1.3861868811554245,0.25314607308699455,0.6220594035336904,1.6237066443661847,3.1665115016717897,5.829376169362159,6.846287051821637,5.17652027126357,1.4772494835748082,0.1974984890089191,-0.03589225824247161,-0.0628510710669499,-0.05284576248411271,-0.04333201370726239,-0.0386119028276348,-0.040567878331939894,-0.04643022301813901,-0.0505368998851318,-0.0558843160232029,-0.06222963935095438,-0.05861133553413908,-0.0548114442013973,-3.828270602077282,1714
17,0.7737678340486696,0.117295887589421,-0.5503762063996192,-0.8338876926338799,-2.632375787075432,-3.934443533739966,-3.842699826329863,-2.301180017258389,-1.4639069980157728,-0.7775623276647821,-0.40296301355169817,0.2869748408985515,0.6812283801141916,0.4976090115112015,0.2071805046271038,0.18624484426550225,0.37551027724214237,0.32126627860549206,0.10141472087110515,0.11702553391785386,0.2716903324136979,0.37589874839710546,0.8796794473348655,0.9286019640244376,-0.0007505713120705693,0.07187989737740619,1.0110145112761701,2.763878870151572,2.662796055603595,1.1471307027395854,0.27855072062997177,0.004286493674925396,0.014907945840970882,-0.008684327165332684,-0.0006422653809399215,0.0056188819623326225,0.003052281450758504,0.002209307043078923,0.0020843960475808165,0.004604875760246097,0.0060373615589759955,0.005228931217016591,0.004176616199060207,0.004164689127257898,-0.0032247473421830875,7.014565534390385,1952
18,-1.3808236638960807,-2.0913931336615406,-2.500220815342402,-3.395084331487567,-3.9180424588838605,-6.842514290261988,-9.20569710267523,-7.876676867105573,-4.520435898323342,-2.5078545316264353,-1.9935081915614887,-1.3927109636657065,-0.5004070482186762,-0.5264820212166228,-0.8259568217796982,-0.9881380601097476,-1.096599735349571,-1.2635945405798452,-1.9546097834538614,-1.8585892595767177,-1.4612061720423526,-1.1896040657240974,-0.8467231529353398,-0.31342568102724044,-0.02219955980762167,0.03434425156618115,0.026980849650040772,0.0024133082988173626,-0.45946912332578194,0.017024809835158194,0.025426981854366204,0.010408651275722658,0.05579459783114782,-0.03572593061294599,-0.033973275717263995,-0.03279246499105293,-0.0318637799339799,-0.0255844566368931,-0.03236150007113228,-0.03661987707676942,-0.04218949262899471,-0.047766095387587,-0.04621462505004309,-0.04505351855967102,-0.04171144074157329,-5.4835529449135265,2134
