,ETd_BJ,ALd_BJ,ETn_BJ,ALn_BJ,ETd_NJ,ALd_NJ,ETn_NJ,ALn_NJ,ETd_HX,ALd_HX,ETn_HX,ALn_HX,ETd_NWC,ALd_NWC,ETn_NWC,ALn_NWC
May,0.214707185,0.018162786,0.001904747,0.056543091,0.027899078,0.191935182,0.002095457,0.008631592,0.240419156,0.033803748,0.010107004,0.207035495,0.149536185,0.032357144,0.001833311,0.05787295
Jun,0.594632583,0.023016441,0.007690366,0.109671227,0.039550552,0.090800368,0.005071312,0.047421016,0.174971097,0.05719789,0.012379289,0.141567958,0.371311248,0.051988289,0.003533304,0.095339847
Jul,0.592856508,0.034869568,0.220331878,0.036822852,0.137552855,0.053358371,0.00206148,0.014070693,0.240241774,0.070326943,0.043220378,0.03019724,0.443399667,0.049896057,0.058675355,0.018566086
Aug,0.606469656,0.055577687,0.279997618,0.0662154,0.103396578,0.141032399,0.001230834,0.019242162,0.234846612,0.064078942,0.01348543,0.06900201,0.40488543,0.083073985,0.063345541,0.048627535
Sep,0.528982832,0.003411035,0.034088247,0.124008835,0.080134449,0.168808177,0.011149815,0.097224579,0.177207283,0.062555531,0.003354414,0.106076465,0.290587566,0.045080411,0.001536069,0.105543759
GS,0.618524307,0.011959162,0.059832482,0.134993413,0.08402133,0.132151943,0.011340347,0.054997838,0.244341242,0.063493953,0.010101756,0.166811832,0.392572237,0.054929999,0.005404949,0.109360961
Yr,0.551081019,0.002939031,0.024954255,0.148576592,0.048860705,0.160717102,0.020619523,0.077515298,0.200100366,0.040944579,0.002247203,0.174266576,0.262304898,0.047906521,0.00133728,0.129644719
