,ETd_BJ,ALd_BJ,ETn_BJ,ALn_BJ,ETd_NJ,ALd_NJ,ETn_NJ,ALn_NJ,ETd_HX,ALd_HX,ETn_HX,ALn_HX,ETd_NWC,ALd_NWC,ETn_NWC,ALn_NWC
May,0.274022196,0.002948355,0.005133827,0.029672984,0.06369717,0.185164305,0.00302959,0.006537452,0.218715068,0.039530111,0.017356251,0.10723881,0.159965645,0.061694251,0.000650067,0.022975949
Jun,0.534759045,0.025755391,0.008199207,0.106243526,0.108986171,0.109627884,0.024189963,0.034581516,0.110421112,0.04637595,0.011843813,0.121597734,0.330543652,0.051835294,0.001590012,0.065401164
Jul,0.611348708,0.024336657,0.219406986,0.094144922,0.186124646,0.113848898,0.015891944,0.003803036,0.260173167,0.066209237,0.028630874,0.075578864,0.390471426,0.059350825,0.085356062,0.030693076
Aug,0.595681665,0.061551934,0.1189032,0.044952741,0.215128889,0.136718683,0.020082585,0.036525756,0.248457771,0.06990024,0.066290099,0.049669489,0.372460131,0.092202442,0.051254967,0.040928162
Sep,0.473007328,0.03437481,0.003226433,0.163500855,0.171790266,0.194492627,0.004452104,0.115027477,0.304582171,0.035288671,0.028708293,0.130300621,0.306438598,0.09911541,0.005199675,0.122065317
GS,0.613008307,0.025951837,0.034070588,0.155323353,0.173633107,0.152273392,0.000295799,0.051925603,0.228015572,0.065174329,0.011268716,0.214480572,0.361365778,0.077822889,0.011076703,0.101645022
Yr,0.54572687,0.009708364,0.009991814,0.134370736,0.139481214,0.215386477,0.016905092,0.080861558,0.194272078,0.048276317,0.002063393,0.189383254,0.27329443,0.085987715,0.002578619,0.113234402
