,ET_03_x,ET_04_x,ET_05_x,ET_06_x,ET_07_x,ET_08_x,ET_09_x,ET_10_x,ET_11_x,Id,ET_01_x,ET_02_x,ET_12_x,ET_03_1_x_1,ET_04_1_x_1,ET_05_1_x_1,ET_06_1_x_1,ET_07_1_x_1,ET_08_1_x_1,ET_09_1_x_1,ET_10_1_x_1,ET_11_1_x_1,ET_01_1_x_1,ET_02_1_x_1,ET_12_1_x_1
22,-0.29430859499999995,-0.15949559699999993,-0.06510290299999999,1.5241702480000003,0.6989971459999995,1.8516331609999996,1.0039310180000003,-0.039445124,-0.870493492,15798,0,0,0,-0.8637305288050251,-0.5246760131577768,-0.08897900734667585,0.4327387232666479,0.4108313089988529,0.4405273160379395,0.4246677193986286,-0.13983473582045317,-2.6399564720843967,0,0,0
23,0.30769432200000013,0.1970180829999999,0.27188867399999994,4.639430674,5.818787674999999,1.8854919419999985,-0.5904432829999999,-0.198855907,0.4604925720000006,19892,0,0,0,0.3563530634899391,0.14378255042616475,0.1520096728605898,0.5568996238298272,0.7070324733917835,0.335588440096231,-0.5100121349545103,-0.24271038510556844,0.5049848300768057,0,0,0
24,0.19458432900000044,1.3191942139999995,1.571131038,6.866376962999999,7.90754252,7.288438280000001,1.7435621289999994,-0.17953894299999984,-1.1448352369999997,24419,0,0,0,0.3290338114761713,0.9701542673688257,0.5362281393362553,0.6785276748080912,0.6162521770057794,0.5921146796852983,0.37142566819425077,2.3116602003791415,1.3281151241299298,0,0,0
25,0.505670388,-0.39030535199999994,-1.0718838240000004,1.9616122700000007,8.794370198,8.541899450000003,2.5916141590000006,0.17587083800000025,-0.26304172500000034,24442,0,0,0,0.45496154564804864,1.068506635962136,-23.755093194106482,0.48766530278619113,0.8222207999375574,0.7162298405625125,0.5440153437568468,-0.3340824105214245,-0.1696041703772308,0,0,0
26,-0.025386982000000113,0.05000864199999999,0.11118708399999999,0.38632612499999963,0.765013857,1.2637018150000001,0.7734366210000001,0.094976022,0.2828530749999998,16438,0,0,0,-0.037946968279774014,0.06192036887226645,0.09759685060089356,0.13129472028271716,0.2391360741057379,0.26465376969839927,0.21494049743427213,0.15197262537395465,0.250680664830049,0,0,0
27,-0.26058996499999987,-0.0016426639999999049,-0.05299456200000008,1.823662067,2.058660377,2.2505018349999997,2.1164193879999997,0.38387507200000004,-0.8583349730000003,16459,0,0,0,-0.4619024487669702,-0.0027885525310012284,-0.12706758222483663,0.5303528995037554,0.57353175654834,0.5299628196615555,0.5158877815306455,0.4182296503629215,-3.1459590380568976,0,0,0
28,0.047343756999999265,0.3029074040000008,-0.6243481710000003,0.18143569999999976,-0.6703926899999999,0.4571434700000001,0.45682850200000136,-0.19433062700000114,-0.5101037740000001,3396,0,0,0,0.013439930138257556,0.091855268017426,-0.17286848762729354,0.026728954857347848,-0.5343036613597474,0.09500827320542418,0.10303504569568654,-0.07310113002761313,-49.38755183428027,0,0,0
29,0.13677145200000052,-0.18466911699999988,-0.43158541800000005,1.589450597,-0.9375524450000006,-1.7989889699999986,-1.779615111000001,-0.35602777799999963,-0.1884072139999997,20144,0,0,0,0.08811475260127617,-0.1011885572602739,-0.1547027160395636,0.2726656830356844,-0.47489226019163383,-1.3113359234624125,-1.7889324670026634,-0.2440038620248188,-0.5086767700620421,0,0,0
30,-0.020117622999999973,0.2619773539999999,0.5290537869999998,3.7324815859999996,5.382638514000001,4.803635229999999,0.8189108499999997,0.4729347610000003,-0.43570527900000044,24465,0,0,0,0.06452969157427389,-3.3927129803300553,0.34062572277824044,0.7503969455071214,0.7748069434106813,0.635540070005969,0.31627086896627743,-1.6871926602574678,-0.30388146806788613,0,0,0
31,-0.08128266699999998,-0.02603110899999994,-0.29559079099999974,-0.4383226119999999,-0.25366093099999976,-0.11653719399999973,0.1573113420000003,-0.023678515999999816,0.35685363700000017,16752,0,0,0,-0.1083411831129324,-0.0304261522739802,-0.23697728236858576,-0.20698950380813103,-0.15689380605635103,-0.058989272720135204,0.0838021053630393,-0.05603528852242519,0.1768102929132585,0,0,0
32,-0.13437202900000011,0.03099978999999964,-0.007025955999999667,1.7647530069999995,5.367834559999999,5.024965249999999,0.40490598000000055,-0.31176739699999967,0.11266221299999923,20139,0,0,0,-0.0962785885948873,0.01955481421589166,-0.0036590884860290217,0.24581038728385757,0.5955742851146352,0.9114126927140372,0.2917662485630647,-0.2739998883443547,0.12198884594060816,0,0,0
33,-0.16858546000000008,0.050251945999999936,0.014223273000000258,2.193180806000001,2.144698938000001,1.1267914440000002,-0.10706963100000033,-0.5518638760000001,0.4549959299999995,20140,0,0,0,-0.13173306632587511,0.0325464167115757,0.00717794064148408,0.3015894899984437,0.25902369338252046,0.18677959790363674,-0.044572395491909465,-0.46952713230762055,0.4950883106113562,0,0,0
34,0.152684104,0.47113129499999973,-1.909317566999999,-3.0866928400000004,2.185813939,4.032269390999999,0.7701486099999997,0.19639685900000003,-0.0845070670000001,28429,0,0,0,-0.1328861466250821,-0.4055197372209025,2.081755846827029,1.7800524348252296,0.7399919482970674,0.7329394489900689,0.3552368405675519,0.8794109927988877,-0.055296843009566346,0,0,0
35,-0.3938779969999997,0.07621313900000004,-0.24940666,-1.2918265,2.4758644070000004,1.69229064,-0.07763257200000062,0.13510053700000046,-0.06064097000000057,27308,0,0,0,0.39735853030201634,-0.07656249535066001,-1.5837059726574034,1.3756249205475244,0.535753185405209,0.3039476548026734,-0.040086080650734233,0.2253944079903025,-0.08049605836992361,0,0,0
36,-0.06822867399999977,-0.03998616899999963,0.06522009399999984,1.6504476350000026,11.173498449999997,1.5447968029999997,-0.22837570499999993,-0.16196121600000035,-0.14112897600000007,28183,0,0,0,0.046612516034994785,0.04916332250068536,0.04881685939979574,1.4560588305249014,0.9201335565210562,0.44122044094333435,-0.3128036818718507,3.19360142426139,-0.1281484926315903,0,0,0
37,-0.11794590099999991,0.2031590780000001,-0.5731648269999994,-0.5141451860000013,0.15988021099999994,-1.016870429999999,-2.2445006569999997,-0.5929543079999999,0.35203973600000005,21550,0,0,0,-1.5110506803641226,0.2615782119049022,1.683153663420081,-0.29122181817699927,0.0567902081454926,-0.27955200801686403,2.3454868970998612,0.698963821099789,0.3882111563754539,0,0,0
