,Unnamed: 0_x,LST_Day_01_x,LST_Day_02_x,LST_Day_03_x,LST_Day_04_x,LST_Day_05_x,LST_Day_06_x,LST_Day_07_x,LST_Day_08_x,LST_Day_09_x,LST_Day_10_x,LST_Day_11_x,LST_Day_12_x,Id,LST_Night_01_x,LST_Night_02_x,LST_Night_03_x,LST_Night_04_x,LST_Night_05_x,LST_Night_06_x,LST_Night_07_x,LST_Night_08_x,LST_Night_09_x,LST_Night_10_x,LST_Night_11_x,LST_Night_12_x,Unnamed: 0_y,ET_03_x,ET_04_x,ET_05_x,ET_06_x,ET_07_x,ET_08_x,ET_09_x,ET_10_x,ET_11_x,ET_01_x,ET_02_x,ET_12_x,ET_03_1_x_1,ET_04_1_x_1,ET_05_1_x_1,ET_06_1_x_1,ET_07_1_x_1,ET_08_1_x_1,ET_09_1_x_1,ET_10_1_x_1,ET_11_1_x_1,ET_01_1_x_1,ET_02_1_x_1,ET_12_1_x_1,Unnamed: 0,Albedo_01_x,Albedo_02_x,Albedo_03_x,Albedo_04_x,Albedo_05_x,Albedo_06_x,Albedo_07_x,Albedo_08_x,Albedo_09_x,Albedo_10_x,Albedo_11_x,Albedo_12_x
654,816,0.2879758999999922,-1.5792485000000624,0.3962757999999553,-0.3724766999999929,-1.115508000000034,-1.639128400000004,0.6571753000000058,-0.0375634000000104,0.2224736999999663,0.5058003999999983,-0.0188565999999354,-0.304215299999953,21560,-0.1856246000000396,-0.3714474999999879,0.5119644000000108,0.5244852000000151,-0.0224767999999926,0.3101462999999853,0.0460350999999832,0.299418600000024,0.0596391000000267,0.3451458999999772,0.1585001999999917,-0.5745587000000114,716,-0.0307313639999999,0.2336841329999999,2.2979929930000003,1.9622280470000004,0.6459466519999999,1.1169005769999991,0.3978246150000004,-0.1760506110000002,-0.1851699010000003,0,0,0,-0.1172653292075321,0.2965518823989435,0.5052882234865826,0.5239378907631617,0.413265049612296,0.3606940485570862,0.2244918979654325,-0.8886822595527957,-1.109925266091045,0,0,0,752,-0.006504325,0.021631513,-0.0062594069999999,-0.0071607429999999,-0.0057635899999999,-0.0057268299999999,-0.0059537979999999,-0.004087087,-0.003671627,-0.004906143,-0.006226688,0.0010711739999999
655,818,-0.01961040000009,0.6144540000000234,0.0670855000000187,0.8024740000000179,0.1397796999999627,-1.127037700000017,0.021724899999981,0.8349516000000108,-0.3330470999999875,0.078509399999973,0.0137089000000401,-0.0595928999999841,14300,-0.6770305000000008,-0.4185813999999936,-0.8405977000000462,-0.3781366999999136,-0.7015298999999686,-0.6067941000000019,-0.7894827999999734,-0.548660400000017,-0.2887309999999843,-0.9400544000000082,-0.5280026000000362,-0.0566781000000276,718,0.21006485,-0.0048675440000001,-0.1066383510000004,0.1568915530000003,0.4300702680000006,0.3484773130000009,0.2419055710000002,-0.05930176,0.0663740509999994,0,0,0,0.7012086269715753,-0.0046856085846759,-0.0462743095721881,0.0245304863619503,0.0558513656027316,0.0635294827953883,0.1006920300200093,-0.1965492484817828,-0.4932231690970902,0,0,0,753,-0.0395966409999999,-0.0118310999999999,-0.002929909,-0.0068473599999999,0.0052864589999999,0.0042902689999999,0.005851113,0.0072079039999999,0.0064451979999999,0.0117399709999999,0.0045064789999999,-0.0297162129999999
656,819,-0.3234322000000134,-0.1041796999999746,-0.3230935999999929,-1.3673842000000036,-0.3571791999999618,-2.109400199999982,-0.3505038999999783,-0.0894638000000327,-0.42533949999995,-0.6729880999999978,1.169279900000049,2.161032700000078,28470,-0.8352187000000129,0.145668999999998,0.1144484000000147,1.102103399999976,0.1658776000000443,-0.1807291000000077,-0.1889648999999735,0.3071296000000529,0.3578300000000354,0.1330051999999568,1.2783480999999597,-0.4866240000000061,719,0.4372110999999998,-0.159272649,1.1629542450000003,2.553012058,-0.5415825730000008,-2.685658724,0.2610405679999994,-0.1822081360000007,-0.3097927029999994,0,0,0,4.430456119685763,0.1531921772701504,0.6797561568583229,0.7713301087544515,-0.1553975228580134,-0.868590741838483,0.1344079601897007,-0.7456075965100859,-0.2446891063689004,0,0,0,754,-0.0781635019999998,-0.063542364,-0.005000257,-0.025370227,-0.046874865,-0.0413542409999999,-0.0419181939999999,-0.038453971,-0.035353256,-0.0443172119999999,-0.0758103939999999,-0.0326457269999999
657,820,-1.3352465000000393,0.1073349000000121,2.1297845999999936,0.5358055999999465,0.0371171000000458,-1.559001999999964,-1.2725147000000447,-1.3800936000000092,-1.2482724999999846,-0.6392002999999704,0.0416777999999453,1.0157527000000073,25193,1.0692506000000035,0.9093017999999802,-0.0340035000000398,0.2016573999999877,0.2871466000000282,-0.2352723000000196,-0.4328869000000281,0.0946604999999749,0.1814295000000356,0.2822089999999662,0.467008700000008,-0.2218779000000097,720,-0.8447317420000005,-0.3916067640000005,0.8256523319999998,3.866483727999999,4.667966566,5.499497134999999,1.2904175789999992,0.3393596629999997,0.2220258709999996,0,0,0,6.81821119606358,-0.6461731336851032,0.3979818455216868,0.5261498065327179,0.5753212417407324,0.5383169160437467,0.2960937914017128,-1.0829301390913046,0.9899605927450108,0,0,0,755,-0.0437484699999999,-0.019646079,-0.062891438,-0.0124949249999999,-0.012629992,-0.0140016579999999,-0.0158028759999999,-0.017050134,-0.0175275979999999,-0.004500311,-0.0152801909999999,-0.0279399439999999
658,821,0.371091300000046,0.2074625999999853,0.5751938999999879,0.0055849999999963,0.7455459999999903,0.808733200000006,-0.3388140000000135,0.6418109000000527,0.4347690999999827,0.3092289999999593,0.330710799999963,0.1792424999999866,24291,0.5603455999999767,-0.2268291000000033,-0.256395800000007,0.1624316999999564,0.1269657999999935,-0.0729944999999929,0.0269278000000099,0.0853888000000324,-0.0859308999999939,-0.0764434000000164,-0.1915277999999602,-0.5680294999999944,721,0.2371401949999998,-0.1859109189999999,-0.0606736549999997,0.8940794629999997,0.8877847460000012,0.6521480209999995,0.2144791509999999,0.5207397929999997,-0.0371558949999992,0,0,0,-0.8598446005298844,1.9756865925964784,-0.0332890735847561,0.2186941535593465,0.1875510857464086,0.1152736673095227,0.0742216318830682,3.9141573332071946,-0.0212393091785754,0,0,0,756,0.029001504,-0.0225999199999998,-0.014412905,-0.0018715049999999,-0.0006437049999999,0.002559037,0.0031432419999999,0.002429169,0.0015595949999999,-0.000930168,-0.0153639509999999,-0.0236894309999999
659,822,0.1703768999999511,0.2811265999999932,0.0530222999999523,0.1496130000000448,-0.1394513999999844,-1.4714845999999395,-2.1352641999999946,-1.6924621000000002,-0.6600720999999226,-0.2426818999999795,0.130833999999993,-0.0781579999999735,24292,0.4345939000000101,0.264634099999995,0.0598713999999631,0.1328878999999574,0.6639854000000014,0.1921547999999688,0.1661997999999585,0.1210826999999881,-0.03463830000004,-0.0003217999999947,0.4129129999999463,0.182507500000014,722,0.0284260309999995,0.1184369850000002,-0.0297464699999998,1.5874989340000003,2.7662746690000004,3.2074400939999994,1.5828196409999995,0.1239346829999998,0.1354415210000001,0,0,0,-0.0515776152029659,0.7637146514809031,-0.0160333883930788,0.4266322546552079,0.5468997027579916,0.5147708564518715,0.4596814136932522,0.5809487101625943,0.0707552424583241,0,0,0,757,0.0002405399999999,0.008084967,-0.0066279009999999,0.006094188,0.001275534,0.0026154199999999,0.0009413159999999,-0.002359844,-0.0002080859999999,-0.0023135779999999,-0.028670032,0.002923834
660,823,0.134139800000014,0.1945892999999614,0.2349446999999713,0.0444362999999725,0.6583780999999931,1.2073128999999767,1.1527924999999757,0.5141747000000123,0.3634886000000392,0.124186399999985,-0.0969592999999804,-0.2212951999999859,27963,-0.3890508999999724,0.1640441000000123,0.1542152000000101,-0.3997512000000256,-0.3745857999999771,-0.008504500000015,-0.0620280000000548,0.0247260999999525,-0.0587186000000201,-0.0353466999999909,0.5347611000000256,0.3509864999999763,723,0.4052735990000005,0.0665506850000001,-0.1654104060000001,-1.467206465,-2.8413817630000007,-1.469421398,-0.0325873839999997,-0.075523841999999,0.086171921,0,0,0,-0.5019473177137513,-0.0679652659255666,-0.312591316064473,-1.3783238161254128,-1.4744302877846578,-0.7542411486556462,-0.0205744987462878,-1.324960902308582,0.0806376261342111,0,0,0,758,0.019951605,-0.014790234,-0.042006774,0.0052493229999999,0.003798361,0.000148891,-0.000506295,0.002394382,0.003342266,0.0037754559999999,0.0028386329999999,0.027242022
661,824,-0.3927246000000082,0.0893329999999537,-0.3612451999999848,-0.9583293000000026,0.595991300000037,-1.5634373999999411,-1.6800710999999635,-1.054383700000017,-1.3213518000000022,-0.988728999999978,-0.1380682999999862,-0.040451599999983,18501,0.3173487999999906,-0.4179429000000141,-0.420483699999977,-1.0075690999999551,0.1394710000000145,0.1546265999999718,-0.677403599999991,0.0916066999999998,0.26361600000007,0.1683045000000333,0.3740540999999666,0.4225713999999811,724,-0.0148836530000004,-0.2931644899999996,-0.6044708179999998,3.0828166030000013,4.44083818,3.5091489099999995,1.200070917,0.0204758360000001,0.8077742499999996,0,0,0,-0.00471990501049,-0.088481978105789,-0.2124453003164113,0.3979263434942408,0.6683288077526981,0.7258515773389311,0.2735993293130689,0.0122739143841231,0.6716201615518641,0,0,0,759,0.0016098769999999,0.052060776,0.015814546,0.0128599599999999,0.0128026799999999,0.0050140409999999,-0.0027094529999999,-0.01334888,-0.0054309859999999,-0.0056123259999999,0.011039199,-0.028244914
662,825,0.6071347000000173,0.0646016000000031,-0.2863477999999873,-0.2692674999999553,-0.2485837000000401,-1.6319907999999828,-1.5882563000000118,-1.0055409999999938,-0.4247920999999905,-0.101064200000053,0.2492708999999422,0.9492491000000314,25549,0.2132423000000187,0.1093551000000161,0.0251235000000633,0.069026899999983,0.3526742999999896,-0.0880447000000117,-0.188426599999957,-0.1594723000000044,-0.0808557999999948,0.1370956999999748,0.2551335999999651,-0.0749388000000124,725,0.0452324479999997,0.0033966939999998,0.1530804710000002,1.6443973410000003,2.147228598,2.6023722320000005,1.096605792,-0.0394973970000003,0.1767468389999997,0,0,0,0.3419915054149556,-0.0407797468260799,0.1336552110760541,0.3379027462286242,0.4470369123159979,0.3289804241969241,0.3133014089359646,0.0953744337835288,0.5243549006610785,0,0,0,760,-0.0172800249999999,-0.003138755,0.017860963,-0.001773689,-0.003739979,-0.007809112,-0.0057784909999999,-0.006910249,-0.006782833,-0.001805418,-0.01576772,-0.0264323869999999
663,826,-0.4205937000000403,0.1216471000000183,0.851042600000028,0.1703919000000269,0.5832599999999957,-0.8691246000000206,-1.0682879000000298,0.3245576000000483,-0.2252411000000052,-0.0133594999999786,0.942839499999934,-0.4655515999999693,23964,-0.3295472000000359,-0.1477533999999991,0.0414051000000199,-0.0223234999999135,0.5415407999999502,-0.3335169999999721,-0.2253028999999173,0.0519997999999759,0.2352758999999764,-0.1721841999999469,-0.4667387000000076,-0.2779764999999941,726,0.0243281670000001,0.069121092,-0.0869819300000003,2.3442653830000006,2.8502853790000007,0.975473401,-0.1736721179999998,0.2232641189999995,-0.2647145730000004,0,0,0,-0.0580951990187733,-0.9948451227502476,-0.043095168201446,0.5982664039517589,0.7291933518689455,0.3577057131185702,-0.1258783062212159,-0.7262270586734979,-0.6949163524412791,0,0,0,761,0.0161342809999999,0.0207281389999999,-0.013432361,-0.004342104,-0.0001737959999999,0.0004697939999999,-4.16909999999826e-05,-6.254700000002389e-05,0.0025106389999999,0.014425455,-0.0266099469999999,0.013929025
