,Albedo_01_x,Albedo_02_x,Albedo_03_x,Albedo_04_x,Albedo_05_x,Albedo_06_x,Albedo_07_x,Albedo_08_x,Albedo_09_x,Albedo_10_x,Albedo_11_x,Albedo_12_x,Id
475,-0.004205486000000036,0.008090367000000015,0.005024162999999998,0.01249795099999998,0.020075699000000002,0.020685566000000016,0.021011213,0.014141350999999996,0.013875777000000006,0.012764085000000036,0.01462695199999997,-0.005461408999999917,5927
476,0.0023885599999999563,0.0021483669999999844,0.0019562750000000073,0.00030943099999997115,0.003958953000000043,-2.1599999999982744e-05,-0.0009221189999999713,-0.0007513990000000137,-0.000775500999999984,0.005497321000000027,0.004226657999999994,-0.005454394000000029,6983
477,0.07014094699999995,0.0022155049999999787,0.011402311999999998,0.010926613000000002,0.008710229999999985,0.005403228999999982,0.006621588000000012,0.01078088399999999,0.010211422000000026,0.017314017000000015,0.012252467999999989,0.04681310199999994,10696
478,-0.10060358499999994,-0.03166626899999997,-0.013346896999999996,-0.005374029999999974,-0.01420618899999998,-0.018150182000000015,-0.015641582000000015,-0.02079745300000002,-0.02199367399999999,-0.008223018999999998,-0.008536127999999976,0.07516356099999999,18211
479,0.003629038999999973,0.006939783999999977,0.002428488999999978,-0.0006825909999999547,0.0017696690000000015,0.0003059660000000186,-0.002081659999999985,-0.002135551999999985,0.0003929049999999712,0.006919749000000003,0.01227840500000002,0.010764901999999965,6979
480,0.017371837999999973,-0.001585081000000016,0.0008359030000000267,0.000914597000000017,0.0011895349999999916,0.0029507889999999815,0.0026847919999999914,0.002165015999999992,0.004882201000000003,0.005401588999999984,0.011728928999999999,0.008890589999999976,8867
481,-0.007190414000000034,0.023785942999999976,0.011287232000000008,0.012817038000000003,0.020021022000000027,0.01891886599999998,0.023414804999999983,0.026069941999999985,0.027441441999999983,0.025342108000000002,0.032502293000000015,-0.03227021999999999,9971
482,0.039990100999999945,0.02275480999999996,0.03252966600000001,-0.0003066130000000111,0.004989919000000009,0.009065869000000004,0.006902316999999991,0.005423719999999993,0.00841080999999999,0.013284567999999997,0.01307112399999999,0.05075514300000006,24875
483,0.009828183999999962,0.0052643469999998915,-0.010345548000000038,-0.018386550999999973,-0.017198988999999998,-0.025110318999999992,-0.01307655599999999,-0.012535519999999994,-0.009038111999999987,0.022144038999999976,-0.024222949999999965,-0.005066136999999915,27060
484,0.007476361000000015,0.002953648000000003,-0.0018606429999999952,-0.005580390000000018,-0.0008931239999999951,-0.0012256019999999923,0.001932216999999986,0.001644070999999997,0.0042258680000000215,0.006683530000000021,0.0009275489999999997,0.008038276999999983,5456
485,-0.013422036000000026,-0.02377811099999999,-0.01145020799999999,-0.006064813000000002,0.0009465740000000056,0.003599999999999992,0.0014186989999999955,0.0002655420000000075,-0.001146008000000004,-0.003992582999999994,-0.006029701000000026,0.0027384179999999647,9602
486,0.02779725900000002,-0.0012565509999999946,-0.011434167999999995,0.003996824999999982,0.005113057000000004,0.0062340379999999695,0.0031241320000000017,0.007062210000000013,0.004756923999999996,0.019601675000000013,0.0032681870000000057,0.10369640199999997,18816
487,-0.029010304999999986,-0.005829409000000008,-0.015183185000000016,-0.009866763000000028,-0.013021424000000004,-0.019269624999999985,-0.013460803000000021,-0.008631361000000004,-0.010023022999999992,-0.01459326700000002,-0.008875980000000033,-0.022367926999999982,2285
488,-0.01763769500000001,-0.02756302799999996,-0.03755770299999994,-0.03724642200000003,-0.017182517000000008,-0.011039498000000009,-0.009549743,-0.014152202000000003,-0.017248821999999997,-0.011485683999999968,-0.0027800159999999685,-0.009488881000000005,10466
489,-0.09555317599999999,-0.03841704000000001,0.011407359000000006,0.013409616000000013,0.018421114000000016,-0.018290372,-0.020683544999999998,0.0037937170000000298,0.004411907999999992,0.006094197999999995,-0.10575363799999998,0.013772284000000024,13952
490,0.005808190999999963,-0.010941753000000054,0.0064779810000000215,0.0048470820000000026,-0.0004669989999999957,0.0019761920000000155,0.0009037079999999753,-0.0019138089999999885,-0.00010157300000002145,0.03538981399999999,-0.028112416999999945,-0.011172362999999907,22927
491,-0.006730737999999958,0.00154422100000004,-0.012065041999999998,-0.008916977999999992,-0.010121689999999989,-0.010338844999999985,-0.010403758000000013,-0.012136479000000006,-0.010916420000000038,-0.012589233000000005,-0.025740385000000005,-0.02269461100000003,9703
492,-0.009821196999999948,-0.03313578200000003,0.0021743899999999983,-0.014028910000000006,-0.016980812000000012,-0.025040453999999962,-0.029842124999999997,-0.027830850000000018,-0.028798516000000024,-0.020260838000000003,-0.020335515999999998,-0.07882419899999998,17051
493,-0.12367046900000012,-0.08784236000000001,-0.09729493100000003,-0.01807609700000004,-0.014669714,-0.02019311900000001,-0.02048945399999999,-0.02293906500000001,-0.02383896699999999,-0.013091094999999997,-0.03304014600000005,-0.007198943000000013,28282
494,-0.040886566999999985,0.023884220999999983,-0.000829415,0.004562564000000019,-0.010423895999999988,0.012498712999999995,-0.005939931999999981,-0.012722456999999993,-0.01016535099999999,-0.006144306999999988,-0.011608651000000025,-0.036688008999999994,5043
495,0.0034946689999999503,-0.03717396900000003,0.007576189999999983,-0.0038163300000000067,-0.007688260999999974,-0.018318838000000004,-0.01979299300000001,-0.02052285000000001,-0.01958949900000001,-0.016572967999999966,-0.026938528000000017,0.031826942999999996,18791
