Albedo_01,Albedo_01_1,Albedo_02,Albedo_02_1,Albedo_03,Albedo_03_1,Albedo_04,Albedo_04_1,Albedo_05,Albedo_05_1,Albedo_06,Albedo_06_1,Albedo_07,Albedo_07_1,Albedo_08,Albedo_08_1,Albedo_09,Albedo_09_1,Albedo_10,Albedo_10_1,Albedo_11,Albedo_11_1,Albedo_12,Albedo_12_1,ET_01,ET_01_1,ET_02,ET_02_1,ET_03,ET_03_1,ET_04,ET_04_1,ET_05,ET_05_1,ET_06,ET_06_1,ET_07,ET_07_1,ET_08,ET_08_1,ET_09,ET_09_1,ET_10,ET_10_1,ET_11,ET_11_1,ET_12,ET_12_1,Id,LST_Day_01,LST_Day_01_1,LST_Day_02,LST_Day_02_1,LST_Day_03,LST_Day_03_1,LST_Day_04,LST_Day_04_1,LST_Day_05,LST_Day_05_1,LST_Day_06,LST_Day_06_1,LST_Day_07,LST_Day_07_1,LST_Day_08,LST_Day_08_1,LST_Day_09,LST_Day_09_1,LST_Day_10,LST_Day_10_1,LST_Day_11,LST_Day_11_1,LST_Day_12,LST_Day_12_1,LST_Night_01,LST_Night_01_1,LST_Night_02,LST_Night_02_1,LST_Night_03,LST_Night_03_1,LST_Night_04,LST_Night_04_1,LST_Night_05,LST_Night_05_1,LST_Night_06,LST_Night_06_1,LST_Night_07,LST_Night_07_1,LST_Night_08,LST_Night_08_1,LST_Night_09,LST_Night_09_1,LST_Night_10,LST_Night_10_1,LST_Night_11,LST_Night_11_1,LST_Night_12,LST_Night_12_1,ele,fc,stable
0.597576615,0.644963667,0.637250646,0.601539003,0.278685875,0.263472101,0.174512524,0.16856623,0.185993822,0.173745203,0.177359071,0.170165093,0.180530529,0.17899169,0.176840898,0.178098868,0.178647067,0.176242085,0.164767215,0.189082723,0.212020061,0.236549154,0.542683164,0.605687471,,,,5.066666667,3.018657817,3.576499508,2.328957719,2.534457555,1.005541509,2.969562885,3.907501054,9.930973451,9.73259587,15.08286627,6.740560472,13.67030482,4.396792035,6.54719764,3.467748279,2.989991572,3.118141593,4.941494592,,,24285,258.4575221,259.0603048,264.071216,267.7647216,288.2543363,289.6057795,301.4620354,309.3015988,310.1488817,313.3212175,313.1619587,313.8290585,311.8957596,310.0077753,309.952439,308.4747148,303.4174853,302.6523206,291.46947,292.4361268,281.2515864,278.4660525,258.7120443,259.4674312,246.7451401,246.4732133,252.4161357,253.9698648,270.9835005,270.0564555,278.1384366,278.8400914,285.047085,284.432687,289.8801416,287.9443175,290.8249336,290.1026448,288.4131244,288.0244444,279.9398574,280.5203171,271.9240177,270.9940973,265.7047057,261.1315581,249.4700098,251.6038377,466.7463127,5,5
0.234813793,0.204103545,0.227335484,0.196112253,0.215509354,0.192123913,0.213835236,0.184017778,0.190540659,0.180744086,0.173695,0.165831536,0.171935556,0.166298925,0.167382022,0.164182796,0.164961737,0.16614,0.185722406,0.175587097,0.189282374,0.184638545,0.230734283,0.20286185,6.834,6.547833333,5.289166667,5.034,2.328,3.742444444,1.975,3.534,4.12,4.109090909,6.842857143,10.275,14.24,21.26651515,13.93392857,18.20166667,6.594642857,7.763181818,4.601333333,4.314944444,4.610666667,5.822777778,6.546666667,5.550198413,4786,278.299,279.2454242,283.6452,288.3838333,293.5099394,297.1956909,299.8850556,305.4854,303.8930909,309.6312727,305.246,309.3096364,306.5203333,305.6566667,304.0511364,303.8602424,298.950197,302.4307576,295.5904444,294.4616,283.6262273,285.6187091,277.6430303,278.2365,262.9985,260.0605,265.212,264.8608333,271.6783333,270.2858333,276.326,277.8142,283.3483636,282.5743636,288.9392,288.8427636,290.9683333,291.2058333,288.6118788,288.1020909,280.0598667,283.5263333,274.9947333,274.817,269.3437273,268.7990909,263.9398,261.8938333,1158.6,5,6
0.497219444,0.535741057,0.51526722,0.533978778,0.297464922,0.221865211,0.16666768,0.175114545,0.164918928,0.168694882,0.156465224,0.1687688,0.162165093,0.173096346,0.169421965,0.171416686,0.172248946,0.176328389,0.164813686,0.179034392,0.17372722,0.204947459,0.481999341,0.548711843,6.4,,5.3,,4.370686963,4.356603379,3.439324746,4.357403071,2.433723653,3.530125612,5.782837069,10.28395785,11.3183548,16.9559719,9.232757611,15.2726776,4.955884075,7.691569087,4.074309133,3.959590164,4.16264637,5.18998829,5,6.1,24737,258.9863173,259.0915841,266.9913466,268.7352851,289.4215925,292.8884445,303.0092792,307.1768478,312.6918714,312.5300432,312.337897,312.9772658,311.59387,311.3485656,310.0798032,308.8045511,302.4914032,302.5614657,290.1866234,292.4232952,282.7769931,277.818409,261.4950385,260.4440222,251.5145199,250.7597112,256.1157096,256.8582223,271.3209446,270.8506731,278.8864778,281.1787963,286.3144518,286.4510583,291.1399625,289.7442325,292.5756277,292.3511044,290.2612178,289.9777408,282.2686495,281.8800039,275.1572521,273.0689321,268.6445029,262.0978795,252.8528799,254.0004281,398.5456674,5,7
0.231673413,,0.209428571,0.200483978,0.219780746,0.196139042,0.177189925,0.196209028,0.172769635,0.192938005,0.155045633,0.182984472,0.160036179,0.180384203,0.16644871,0.184700199,0.175173278,0.192230069,0.195420484,0.215633639,0.230893209,0.234717403,0.434964109,0.241572598,6.281748971,6.326568685,4.913333333,5.424375,1.694046639,3.469502268,1.367004115,3.013132144,0.871929747,2.703378227,1.17260435,6.755198279,2.681872428,12.96757888,2.387746914,12.35119716,1.632345679,8.009807956,1.909888889,3.349673525,3.552411523,4.550783568,,5.538664511,19100,274.8328865,274.1688766,282.8164406,282.2594148,295.2102469,290.289345,298.9587709,303.8111455,310.7871934,308.8695922,311.7412141,310.4575665,313.120273,307.2474993,311.2782627,305.707415,304.0121907,302.1741077,296.4609918,294.4305877,285.9697187,283.1872941,266.6817781,275.2302572,259.1551749,259.0975878,264.1313646,265.8720199,272.4565484,272.2211701,278.3943753,280.130707,284.8506891,284.8991036,290.2341317,288.9881255,291.7563155,290.7895683,290.7332529,288.626013,283.2730274,282.8217901,275.0062099,273.5916683,267.6828874,265.0352293,255.4964127,260.5125021,959.600823,5,7
0.214066667,0.208058487,,0.21443362,0.208637895,0.192272149,0.191815576,0.18778852,0.172793236,0.177729944,0.152792087,0.176046128,0.143585086,0.172757111,0.140945447,0.161276364,0.159599752,0.14563176,0.184438824,0.17521019,0.200630283,0.189192193,0.215622537,0.199429118,6.308333333,6.57,2.533333333,3.152864939,0.213915416,1.164290587,0.37718281,1.490571039,0.270707464,1.174699243,0.450711362,4.086266485,1.656704346,4.606176361,1.0946794,5.9565598,1.115859482,4.218190086,0.933015007,1.289887449,2.769372442,3.482537517,3.3,5.58622101,13772,275.6868415,276.6534069,281.2535678,283.0086871,293.2217124,292.2879488,299.9267256,301.8390995,306.9211368,308.2884001,308.6968748,310.8799936,311.4342253,311.1852859,309.4072892,307.3445876,303.8764508,301.9472227,295.6095003,293.8428825,286.9616962,283.1116256,273.8705898,277.2661652,259.6860111,260.1536078,264.7250728,265.9529817,273.0817492,273.1535767,280.1154631,281.3416405,286.9238266,284.8955021,289.9970772,289.6428071,292.0468205,291.400318,291.7474864,290.3314332,285.1674099,286.3997792,277.2974597,276.8718945,269.4456832,268.2762794,260.2039766,262.3547295,1031.191252,5,7
0.213039461,0.214817453,0.212383571,0.225249603,0.189533881,0.205396874,0.192248722,0.195942669,0.197563985,0.193778415,0.186964935,0.179230598,0.184700768,0.179108896,0.188763563,0.175272314,0.195162443,0.177142776,0.203568982,0.204899587,0.191241751,0.222446401,0.199556589,0.208655531,6.283017437,6.514757196,3.996741855,2.617195567,0.377362901,0.950041518,0.323199393,1.078751038,0.367418499,1.835054104,1.499263511,7.518571806,5.355420773,9.81995543,4.874886277,9.561410159,4.50181956,7.135341857,1.412570129,1.675188184,2.818473591,1.780719364,,5.58223115,14803,275.3535005,277.4872351,280.6909342,285.7298673,292.3958108,294.3056477,302.0576477,304.9071892,307.884644,308.6224771,306.5869689,308.1814563,308.0591298,305.5747618,306.7258889,303.3432038,302.6817715,302.4114445,297.2052747,296.3335179,285.9581312,288.9272105,274.762815,277.2157364,258.883631,257.2955819,264.5187748,263.9471873,272.5343669,272.1319725,278.8630673,279.9543325,285.1030657,283.9969226,288.255751,287.976098,289.2324947,289.424578,288.2550487,287.5355516,281.7807708,282.5742944,274.1167268,272.9612745,268.3263741,264.5492729,258.9780973,259.1151682,995.2266869,5,7
0.257592125,0.228660872,0.207822949,0.200815549,0.180309859,0.175514911,0.180447493,0.172054605,0.174478681,0.188291882,0.166288344,0.182642194,0.173959756,0.18110138,0.178577384,0.179151954,0.184256674,0.186016051,0.217136831,0.209651357,0.213389771,0.214643931,0.246802799,0.217471584,6.2253861,6.247972973,1.94501992,3.19164751,0.465412563,0.932807901,0.60761038,1.096392977,0.355225739,0.977599465,0.967323227,3.06188414,3.000629357,5.083268784,2.493251356,6.333841514,2.977953137,5.321210948,0.967996385,1.395007623,2.224463594,3.552215337,3.201045296,5.714563277,16117,273.9107762,276.8383853,281.3618263,282.784225,293.0678151,293.4904711,299.1790627,306.3466434,309.7880079,310.5067171,310.5037661,312.2883826,310.5229409,309.7286903,309.0239414,306.6095275,303.8121011,303.4988659,296.1085053,295.8007088,288.1535874,284.8736362,273.2994792,276.4456339,258.3697023,259.0638516,264.3972796,265.8750195,273.5879151,273.2059644,278.455117,280.3156088,284.5371185,283.9396532,288.0812721,288.137344,290.0515432,290.1639685,288.9210758,287.936708,282.4359502,282.9119081,274.0862004,273.3394671,267.0666839,264.7358996,258.8087545,259.9014003,960.6111541,5,8
0.237847379,0.230486949,0.224058462,0.245898348,0.214696944,0.211437042,0.203126127,0.196353944,0.199067126,0.190340538,0.193593818,0.19101377,0.195725722,0.192310303,0.198685075,0.193223695,0.197856336,0.199107938,0.209433847,0.209058212,0.222582008,0.244466389,0.225107261,,4.90868439,4.604339923,2.795654397,1.952436946,0.487757652,0.71925456,1.137641445,2.977243808,4.839144513,8.940856417,4.864368488,9.348318564,3.556543967,7.72413656,3.217868098,8.851244035,4.807387526,6.893847989,2.052641445,1.973301522,1.876435226,1.791910929,5.07533856,4.395119291,21562,275.2759083,273.768391,283.8059153,285.1408255,299.795234,301.6632146,305.4994822,310.5737498,313.6369412,312.7974493,314.9343286,316.3532373,317.7464298,317.1234095,314.4927007,314.3454755,306.9278613,307.5159864,297.4478737,296.5058512,286.5948928,284.4069917,273.1250053,274.0854578,259.9378545,257.5420568,266.4081458,265.0832941,277.2292322,276.6782887,283.193032,285.8377526,292.4022086,290.0613007,296.2907894,294.8115474,298.1483475,298.2468842,295.8469014,295.9003382,286.7674307,288.2325182,278.3372708,278.1814574,270.074571,267.2949495,259.3176568,259.2655181,-39.73551466,5,8
0.337958527,0.232268208,0.299100091,0.200924244,0.204401851,0.172676827,0.205151871,0.184489488,0.187822352,0.187644299,0.180684224,0.18393267,0.161833248,0.172561337,0.155138022,0.162888511,0.165829882,0.166704558,0.187809982,0.187310876,0.200047282,0.213650291,0.219152635,0.205425879,4.022303922,5.860280174,3.054176471,2.264690943,0.261906629,1.422612002,0.313620915,1.972326331,0.949392157,2.372067736,1.288616246,4.530379085,3.823480392,6.087424837,3.248009804,7.551529412,2.456212885,5.843005348,0.825686275,1.635753377,2.115597106,2.99827554,5.548488562,4.64918643,8991,275.4218457,277.6705778,283.3938571,285.2987724,294.3221399,294.4692371,302.3705867,303.1793265,307.5882367,308.8590824,308.6588188,312.3118359,307.1388294,308.3875516,303.3488562,302.8677,300.3926301,300.2678523,294.9648682,294.6816141,286.4740686,284.9468193,276.1310163,277.8496353,259.4441216,260.8035226,265.1119875,267.0661268,273.264681,273.7443169,279.17832,280.0105285,283.7109002,283.6304877,288.0185835,287.3495535,290.0856471,289.9002359,288.8970288,289.115696,282.8932778,283.1552187,276.1657689,274.3193631,269.5100216,266.2695387,263.0919948,261.3270518,1156.086275,5,9
0.622258818,0.626363863,0.640766283,0.666953297,0.413834759,0.402426339,0.215156434,0.196137037,0.183019713,0.195985663,0.176008032,0.192362963,0.171336918,0.176448029,0.170269637,0.173725806,0.183249605,0.178161111,0.198425094,0.200775986,0.448209213,0.450198701,0.693526255,0.626530698,,4.9,4.2,5.8,4.491666667,4.086111111,4.489444444,3.582175926,7.058333333,6.054545455,14.8297619,10.37967172,16.47083333,21.25984848,9.5625,17.39166667,4.686309524,6.474494949,3.966666667,4.47787037,3.686111111,5.166666667,,,28470,258.4903175,261.086789,265.1247024,265.7060118,280.0909091,282.195303,293.0153333,300.7323704,302.3893939,306.7883333,305.0513333,309.1581944,305.3343056,306.0065278,304.7139394,302.6023611,297.7130556,296.2372222,285.6733333,285.8565,272.6360682,270.937271,256.7404074,262.6299676,253.1479167,254.6396843,258.526,258.8958712,267.414335,267.2698611,275.746,275.1272778,283.3890909,281.6893939,287.7446667,285.9020833,288.1556944,288.9829167,286.4497348,286.1155556,279.0227778,278.1898611,271.3256481,272.389,265.275904,262.1769697,255.1864798,256.9369697,502,5,11
